equipment_id,chamber_type,maintenance_policy,observed_cycles,event_observed,true_lifetime_cycles,vibration_last_g,temperature_last_c,motor_current_last_a,particle_last
EQ-BAYES-01,clean,condition_based,112,1,112,0.13582031313162565,70.5120714632223,5.586553726925081,8.866449842490914
EQ-BAYES-02,deposition,time_based,132,1,132,0.15401136268522453,71.43914086715888,5.5233170624403405,12.121466721148145
EQ-BAYES-03,deposition,time_based,144,1,144,0.13523076925799485,71.89528345019684,5.608535737014191,9.94419964776415
EQ-BAYES-04,clean,reactive,129,1,129,0.12385395823303355,72.25533584422347,5.708619447647747,12.523960307835932
EQ-BAYES-05,etch,condition_based,148,1,148,0.13208880597163675,72.7888446637719,5.490763826717657,14.696025864911618
EQ-BAYES-06,clean,time_based,130,1,130,0.12602668611546872,72.84875353654303,5.685447574974055,12.442180138551679
EQ-BAYES-07,clean,time_based,107,1,107,0.13127750865239848,69.4286107350621,5.33792109932141,9.71238481511916
EQ-BAYES-08,etch,condition_based,140,0,161,0.1264346674819841,71.97064438635618,5.203052078953315,10.517113507805588
EQ-BAYES-09,deposition,condition_based,144,1,144,0.14757906214770258,72.32902342862354,5.878162856176633,14.111671767008485
EQ-BAYES-10,deposition,time_based,148,1,148,0.14893701190604508,71.2561723698706,5.956553765671416,14.482044468979225
EQ-BAYES-11,deposition,time_based,159,1,159,0.1570425275271699,70.97890499414056,5.900614255478375,14.605740347586327
EQ-BAYES-12,deposition,time_based,147,1,147,0.15173126803789008,71.63727040336373,5.611581894446472,15.624742864096932
EQ-BAYES-13,etch,reactive,125,0,140,0.11925867399729931,71.58081572356168,5.399705203068642,9.344308442967357
EQ-BAYES-14,etch,reactive,130,1,130,0.13034606921855701,70.88162070013085,5.923369295402906,10.574415417688407
EQ-BAYES-15,deposition,time_based,157,1,157,0.14461502977357657,71.67952041172006,5.590240603635101,13.164319662367166
EQ-BAYES-16,etch,reactive,84,0,125,0.10824016597648019,70.25343166432383,5.517396660847807,8.299095959568483
EQ-BAYES-17,deposition,time_based,136,1,136,0.1403514282510906,69.42320354224387,5.3457072753333,12.619080403330495
EQ-BAYES-18,deposition,condition_based,188,1,188,0.1569294458891689,72.42507503697755,6.089552276103534,14.092247541939642
EQ-BAYES-19,etch,time_based,118,1,118,0.12803258147749055,71.28298406024514,5.370244969762802,8.581228188541575
EQ-BAYES-20,deposition,reactive,112,0,136,0.13580206291618308,69.3242081188036,5.1691288218761855,10.867393511626112
EQ-BAYES-21,deposition,time_based,162,1,162,0.13499430272962087,71.1863336115883,5.725056492552139,14.468991774541477
EQ-BAYES-22,deposition,reactive,134,1,134,0.12736176206579755,69.51482697639705,5.7773004293325645,12.003540471190046
EQ-BAYES-23,deposition,condition_based,158,1,158,0.1545585461662947,69.46216439000214,6.071534261041328,10.69133973377559
EQ-BAYES-24,deposition,time_based,139,1,139,0.16136303749470846,69.73033799905069,5.7408941666288875,14.449498510944863
