sample_id,age_h,health_score,vibration_g,temperature_c,internal_resistance_ohm,true_rul_h,observed_rul_h
0,1101.5138730653007,40.454805485635674,0.4213232838651184,56.84733187279918,0.06283477979595367,475.05851209209675,380.33608601794504
1,949.5632784654867,50.384026196572265,0.3731213858004936,61.207978088159905,0.06266619108534509,648.5875838732694,703.8283620615472
2,632.4792717606497,71.90422602287317,0.2607098415140405,54.70923066334169,0.055753698761884185,1017.5207282393503,962.0667232064263
3,262.2549818223252,82.76089697052394,0.22199328824623343,45.78415028224776,0.04829786479031059,1387.7450181776749,1485.2376191538483
4,483.8160756124768,67.82062671887505,0.265512910619136,49.9706294139708,0.05392148778180458,1166.1839243875231,1151.384639267952
5,820.4389987851157,59.26687690069353,0.32651011479519126,53.20879015325348,0.05808990283978911,829.5610012148843,727.2852128292017
6,1270.9052027406622,36.71832096094514,0.4254172836504698,58.34618968813277,0.07046017703618258,294.4882935332511,362.3680080275798
7,1218.0526298888128,35.15605300183303,0.44044007649752354,58.994822075338135,0.06675406071964718,330.57719088672536,412.23859424677005
8,1282.5857138629094,33.54630787198978,0.44016322832324534,61.51636696095919,0.06771376991827396,253.6855458413738,283.74812444620926
9,1171.3362303578401,31.058215162250836,0.38610193341221205,61.42446615584147,0.06341468044064101,414.04969879196165,383.556602154585
10,1018.5098771987724,44.79089915545185,0.3601463399839508,56.08912049211749,0.06143210928441962,616.9128143550844,589.7915419741287
11,938.6036828930113,58.96744601401936,0.34104934905260786,56.39525871696668,0.064213149381722,704.4200235221554,675.6752445612394
12,1138.6457882752543,37.053049295973196,0.4065866500021184,56.81251855796002,0.06740278190119933,451.36363393303907,445.9887958179642
13,467.6057611314096,88.30688043253545,0.2494568201893352,43.00613955029969,0.052924082034941804,1182.3942388685905,1282.2065277743425
14,684.7297497754914,66.77882078874241,0.27927180739742485,52.303951952618114,0.05779535165825033,965.2702502245086,936.6722422441967
15,704.8879975306742,64.11794658267148,0.3197911418005547,53.89368009917159,0.05648112392951041,945.1120024693258,982.6223004275605
16,1293.6558848608995,33.79192109819441,0.4127648814034093,65.29220408953074,0.06640371618129215,248.39470142837843,352.10502093807645
17,977.7188142019062,46.52402635525667,0.3629050665346783,57.57372908721764,0.06113076138100913,647.7979804807951,607.554959514583
18,386.26652711365807,78.9132435680142,0.24363435039848336,49.985458543836934,0.05167672814000974,1263.733472886342,1336.24908532703
19,536.9278902353357,70.57076062928718,0.26456899215029206,50.4727494439502,0.05469183348898706,1113.0721097646642,1124.651023686901
20,577.0459639844431,64.8442092583922,0.2825441026123234,51.4617076109619,0.05802098086423327,1072.954036015557,1058.583678201929
21,287.18620555085676,91.74869179344864,0.23352665310179527,47.44111452820096,0.05200420145271048,1362.8137944491432,1288.5969375713125
22,1347.9953822160746,27.341740963537802,0.4456455827802555,64.50104113326577,0.06863151953433036,168.41838761536653,94.38776367220063
23,939.8395079121605,41.472555454681306,0.32544639641052503,56.69840858686329,0.060524298910401994,701.668449153523,684.8992898881787
24,244.32537060924483,83.61462479645711,0.22629919794890643,48.894755284890735,0.0476129524790942,1405.6746293907552,1462.5480357093654
25,1212.4650294778512,29.908504694611576,0.40569283786713756,59.707568653394056,0.06107735917900267,363.87357317475465,294.06740719718323
26,621.0841215891857,65.97239264188123,0.2712573681543652,51.52142225249231,0.05792139623244608,1028.9158784108145,1039.771356372474
27,1230.391187685902,31.46431281088357,0.43359016163927605,61.82252707234387,0.0685172465942458,310.2650314770302,372.3849864718883
28,588.858692472582,65.42663163066575,0.2697700716904373,51.57149058922649,0.05351207741421933,1061.1413075274181,1023.8489319865009
