sample_id,driver,driver_id,surface,surface_id,speed_mps,abs_accel_mps2,abs_steering_deg,ttc_s,motor_current_a,slip_ratio,true_risk_probability,risk_label,severity
0,driver_e,4,gravel,3,11.442811715287885,1.3063972629006368,3.6231621992639784,1.0678353437536359,6.379903641057048,0.13068965733869894,0.34187720814336325,0,MEDIUM
1,driver_d,3,gravel,3,4.434816401686156,0.16394993114468348,2.9287546836201184,7.291957117441225,3.3898189725221965,0.10140722051155682,0.0001327201353440629,0,LOW
2,driver_b,1,tile,2,16.774629531749035,0.20657456176950717,12.588527152005675,2.4881066684545345,7.864272249519401,0.20780883337433764,0.4295048601222325,1,MEDIUM
3,driver_b,1,wet,1,16.903298016840534,0.5042667348681271,0.8401154629127259,1.3594262536873951,7.767171818341864,0.06303693020438865,0.2732971647036981,0,MEDIUM
4,driver_a,0,dry,0,10.638843132851807,0.7317493779187871,8.23782236780087,4.2290966987583065,5.860169984104459,0.0,0.004470041614462273,0,LOW
5,driver_d,3,tile,2,5.680583834938206,0.7522959621029953,4.876294706896711,3.9346465257799803,4.543636862008269,0.15421282057329258,0.011818114735767956,0,LOW
6,driver_a,0,wet,1,4.968541996904384,0.8053789572950634,8.284980603509435,1.2376465000111205,3.8329640070093314,0.0875901951087971,0.04484079849563138,0,LOW
7,driver_a,0,dry,0,10.566824529812536,0.7967772007306549,6.566579597964826,8.496707748143269,6.150546107493736,0.0,0.0001405217786004569,0,LOW
8,driver_e,4,tile,2,8.78094933683321,0.9523555493344267,0.03650126831790779,8.04988543810586,5.408317931342358,0.12428073862609865,0.0009216544383601191,0,LOW
9,driver_b,1,wet,1,13.994709906672616,0.5050432632791408,6.786910686629732,4.716952724419722,7.052469136093327,0.06357773661183877,0.022001998634065312,0,LOW
10,driver_a,0,wet,1,12.141512101677527,0.06824549452504713,4.783788068357474,1.6065810773736797,5.853749787707249,0.06187307706449127,0.05134987275748405,0,LOW
11,driver_c,2,gravel,3,6.679368097927176,0.4735220725520737,1.968757561810376,3.9428611741722177,4.791825715129947,0.029311889118058473,0.005052868393190595,0,LOW
12,driver_d,3,tile,2,8.830492862490539,1.1042577423134343,7.4416644067123086,1.1311624927939337,5.360898457861247,0.15785606779851652,0.27639730204956886,0,MEDIUM
13,driver_b,1,gravel,3,3.2031539203028307,0.4198331508613202,7.162608584607086,4.845329609347555,3.427407803391976,0.05295105850523967,0.001395261622945293,0,LOW
14,driver_e,4,tile,2,14.748677046992023,1.4896076163914311,11.875787612899712,2.1571385465812405,8.126819938311499,0.1285873003993345,0.6463657927641479,0,HIGH
15,driver_e,4,wet,1,16.472559932537827,1.3209302102967218,0.9114490493684055,0.7718349220380533,8.173657761075395,0.11479009726614922,0.6519874663485637,1,HIGH
16,driver_d,3,tile,2,8.419276677182655,2.2663233834900582,7.9621798101494425,5.11405500188277,5.916796904285288,0.1392896473664792,0.04335652532676022,0,LOW
17,driver_c,2,dry,0,5.161644778578871,1.1469150107780433,2.4578313783720778,1.4173648316889254,4.293760556210758,0.020887846888216266,0.02918861523476713,0,LOW
18,driver_a,0,gravel,3,15.535751066107895,0.23322836844619627,4.745660809670379,8.587672082540669,7.1445543955009425,0.046113608035269094,0.00038857919902749566,0,LOW
19,driver_b,1,dry,0,4.551846390478423,0.014297043456280023,4.254177619048938,4.171563104011367,3.702895906186547,0.060859568030637634,0.0010160804354287538,0,LOW
20,driver_c,2,wet,1,10.562157494594505,0.878505467430242,6.093363557091907,5.618457955689821,5.911065397782728,0.1258051345677159,0.011646004329557603,0,LOW
21,driver_e,4,wet,1,4.1145328790129465,0.06168405371098429,13.41290165793658,5.500877801542973,3.407514713829445,0.0871541891482462,0.00188421363755661,0,LOW
22,driver_a,0,wet,1,16.27554896312467,1.2403634918256552,9.015835001263989,6.602595956278838,7.661846377209725,0.09723119653917629,0.012857287060023342,0,LOW
