time_s,target_v,v,target_w,w,v_ctrl,w_ctrl,v_error,w_error
0.0,0.25,0.05514,0.0,0.0,1.3785,0.0,0.25,0.0
0.02,0.25,0.0560527216,0.0,0.0,0.07795804,0.0,0.19486,0.0
0.04,0.25,0.065659146059904,0.0,0.0,0.2962133330976,0.0,0.1939472784,0.0
0.06,0.25,0.07301716649443941,0.0,0.0,0.2496096569232893,0.0,0.184340853940096,0.0
0.08,0.25,0.08009823991634338,0.0,0.0,0.2500440020420385,0.0,0.1769828335055606,0.0
0.1,0.25,0.08661066250372482,0.0,0.0,0.24290880460087938,0.0,0.16990176008365662,0.0
0.12,0.25,0.09265432499488964,0.0,0.0,0.23770222478284525,0.0,0.16338933749627518,0.0
0.14,0.25,0.0982567364303355,0.0,0.0,0.23271461088103612,0.0,0.15734567500511037,0.0
0.16,0.25,0.10345448311875081,0.0,0.0,0.2282004036407183,0.0,0.1517432635696645,0.0
0.18,0.25,0.10827926698730299,0.0,0.0,0.224074079832555,0.0,0.14654551688124917,0.0
0.2,0.25,0.11276061013066516,0.0,0.0,0.22031284557135714,0.0,0.141720733012697,0.0
0.22,0.25,0.11692562353404834,0.0,0.0,0.21688594521524468,0.0,0.13723938986933484,0.0
0.24,0.25,0.12079927000631077,0.0,0.0,0.2137667853406091,0.0,0.13307437646595166,0.0
0.26,0.25,0.12440452294912274,0.0,0.0,0.2109305935766101,0.0,0.12920072999368923,0.0
0.28,0.25,0.12776252702951407,0.0,0.0,0.20835462495890628,0.0,0.12559547705087726,0.0
0.3,0.25,0.13089274350471705,0.0,0.0,0.20601793890958864,0.0,0.12223747297048593,0.0
0.32,0.25,0.13381308441286724,0.0,0.0,0.20390126620847154,0.0,0.11910725649528295,0.0
0.34,0.25,0.13654003599365963,0.0,0.0,0.20198687393267728,0.0,0.11618691558713276,0.0
0.36,0.25,0.1390887722885936,0.0,0.0,0.20025844336700865,0.0,0.11345996400634037,0.0
0.38,0.25,0.14147325968728988,0.0,0.0,0.19870095725600112,0.0,0.11091122771140641,0.0
0.4,0.25,0.1437063531440897,0.0,0.0,0.1973005961072853,0.0,0.10852674031271012,0.0
0.42,0.25,0.14579988472815228,0.0,0.0,0.19604464274565425,0.0,0.1062936468559103,0.0
0.44,0.25,0.1477647451179988,0.0,0.0,0.19492139447431517,0.0,0.10420011527184772,0.0
0.46,0.25,0.14961095860266915,0.0,0.0,0.1939200822347576,0.0,0.10223525488200119,0.0
0.48,0.25,0.15134775210688317,0.0,0.0,0.19303079620801944,0.0,0.10038904139733085,0.0
0.5,0.25,0.15298361871636895,0.0,0.0,0.19224441734402736,0.0,0.09865224789311683,0.0
0.52,0.25,0.1545263761415815,0.0,0.0,0.19155255434668247,0.0,0.09701638128363105,0.0
0.54,0.25,0.15598322052311722,0.0,0.0,0.1909474856799745,0.0,0.09547362385841851,0.0
0.56,0.25,0.1573607759499947,0.0,0.0,0.19042210619505445,0.0,0.09401677947688278,0.0
