window_10s,accel_error_mean,accel_error_std,gyro_mean,gyro_std,encoder_speed_std
0,0.0534727410256813,0.03707472970929669,0.17486814884740576,0.06684381661549448,0.016987578854590762
1,0.04198564964741849,0.037387035716803574,0.32978322369456575,0.0707659954537112,0.030168487012959527
2,0.03900194113875654,0.036863518427297445,0.1597763184426509,0.09249023050518479,0.042280347590131995
3,0.04621847209545443,0.03449522964533037,-0.11452462830764153,0.14660752331102547,0.020624851740885474
4,0.058941328144188614,0.036924180666684854,-0.3182608994607216,0.03216614015255892,0.03174795274380833
5,0.06146446738666981,0.03677421678728214,-0.27489257733753264,0.10197256615390594,0.06600908480583728
6,0.049854461156635645,0.037812052423430255,0.06345487043918455,0.03995977954603838,0.0249281393348407
7,0.04537915664360678,0.03729809510372025,0.3336900178818396,0.07563253187264375,0.015237823225253367
8,0.05323507453482469,0.03871806137225979,0.2387586188815143,0.026609503367922296,0.017108965847907522
9,0.0650868077709159,0.036653703559874164,-0.04802039108532838,0.15490715702686933,0.04039697107899927
10,0.06543384384631332,0.03820079708827357,-0.27521474978521554,0.05999288375419377,0.03654805031558948
11,0.056291278691112334,0.03649954076099039,-0.3109112942459104,0.10940029700320612,0.017116859968716532
