time_s,true_accel_mps2,imu_ax_mps2,imu_ax_corrected
0.0,0.0276469544487234,0.0693519086606066,0.02164745818185289
0.01,0.0276466413264342,0.0492227772590617,0.0015183267803079853
0.02,0.0276457019701387,0.0994562688540527,0.05175181837529899
0.03,0.0276441364115559,0.0916188323722456,0.043914381893491894
0.04,0.0276419447035741,0.0914853821697383,0.043780931690984584
0.05,0.0276391269202369,0.0949194627112251,0.04721501223247139
0.06,0.0276356831567042,0.0396600461481589,-0.008044404330594813
0.07,0.0276316135292969,0.0423658564064643,-0.005338594072289413
0.08,0.0276269181754884,0.0377004980836758,-0.010003952395077911
0.09,0.027621597253874,0.0206828930999989,-0.027021557378754814
0.1,0.0276156509441766,0.1237674203424625,0.0760629698637088
0.11,0.0276090794472411,0.0986858524932053,0.05098140201445159
0.12,0.0276018829850427,0.0592612673484422,0.011556816869688485
0.13,0.0275940618006537,0.0852438852941104,0.03753943481535668
0.14,0.0275856161582405,0.0887804972053469,0.04107604672659319
0.15,0.027576546343086,0.0611193510596998,0.01341490058094609
0.16,0.0275668526615313,0.056260964535157,0.008556514056403286
0.17,0.0275565354409923,0.0390846278439743,-0.008619822634779416
0.18,0.0275455950299541,0.0997807593543988,0.052076308875645086
0.19,0.0275340317979377,0.0617721139951416,0.014067663516387885
0.2,0.0275218461355086,0.0161771712500054,-0.03152727922874832
0.21,0.0275090384542459,0.1001146712330573,0.052410220754303585
0.22,0.0274956091867395,0.1294155336254359,0.08171108314668218
0.23,0.0274815587865712,0.0466302011562243,-0.0010742493225294122
0.24,0.0274668877282974,0.0228095415439148,-0.02489490893483891
0.25,0.0274515965074384,0.1278559188236395,0.08015146834488579
0.26,0.0274356856404561,0.0986428893497402,0.050938438870986494
0.27,0.0274191556647318,0.0990272961809035,0.05132284570214979
0.28,0.027402007138555,0.0905828899266751,0.042878439447921385
0.29,0.0273842406411123,0.0886878249837927,0.040983374505038986
0.3,0.027365856772446,0.0627559611777357,0.015051510698981987
0.31,0.0273468561534484,0.021594877054177,-0.02610957342457671
0.32,0.0273272394258394,0.1235561514549451,0.07585170097619139
0.33,0.0273070072521336,0.0339951291139003,-0.013709321364853415
0.34,0.0272861603156343,0.1207675638302387,0.07306311335148499
0.35,0.0272646993203978,0.0396057890721904,-0.00809866140656331
0.36,0.0272426249912166,0.1020381979456619,0.05433374746690818
0.37,0.0272199380735777,0.0413834462758086,-0.00632100420294511
0.38,0.0271966393336597,0.0285856407378002,-0.019118809740953514
0.39,0.0271727295582946,0.1453616875392094,0.09765723706045568
0.4,0.0271482095549391,0.0926999046887831,0.04499545421002939
0.41,0.0271230801516558,0.095323150051195,0.04761869957244129
0.42,0.0270973421970605,0.0618568018420775,0.014152351363323788
0.43,0.0270709965603327,0.0568278241511313,0.009123373672377588
0.44,0.0270440441311553,0.1206751585570748,0.07297070807832108
0.45,0.027016485819678,0.0830167661030728,0.03531231562431909
0.46,0.0269883225565259,0.0619765913994106,0.014272140920656887
0.47,0.0269595552927215,0.0517783912718845,0.004073940793130788
0.48,0.0269301849996711,0.0663267640191182,0.01862231354036449
0.49,0.0269002126691481,0.029871298491601,-0.017833151987152712
0.5,0.0268696393132289,0.1133619498665425,0.06565749938778878
0.51,0.0268384659642739,0.0899221263480859,0.042217675869332186
0.52,0.0268066936748856,0.1354976506175373,0.08779320013878358
0.53,0.026774323517878,0.0138592597048222,-0.03384519077393151
0.54,0.0267413565862545,0.105872114333951,0.05816766385519728
0.55,0.0267077939931248,-0.0131883017659529,-0.06089275224470661
0.56,0.0266736368717074,0.0348068187205044,-0.01289763175824931
0.5700000000000001,0.0266388863752825,0.0811975613294726,0.03349311085071889
0.58,0.0266035436771394,0.0406094120684818,-0.007095038410271912
0.59,0.0265676099705541,0.1171003613120753,0.06939591083332158
0.6,0.0265310864687201,0.0813298039856792,0.033625353506925484
0.61,0.0264939744047371,0.112581556224577,0.06487710574582328
0.62,0.0264562750315611,0.113173452621462,0.06546900214270829
0.63,0.0264179896219407,0.1123659308521387,0.06466148037338498
0.64,0.0263791194683893,0.0659260760595539,0.01822162558080019
