time_s,true_speed_mps,encoder_speed_mps,speed_error_mps,slip_flag
0.0,0.25,-0.0030599975669434,-0.2530599975669434,0
55.0,0.3188032539018904,0.3810637269076763,0.06226047300578591,1
55.01,0.31899029836831,0.377061037030381,0.05807073866207102,1
55.02,0.3191764329083065,0.3784391008148622,0.05926266790655571,1
55.03,0.3193616538198401,0.380141105173551,0.06077945135371088,1
55.04,0.3195459574301721,0.3728124827582583,0.05326652532808618,1
55.05,0.3197293400959876,0.3797016852223659,0.059972345126378335,1
55.06,0.3199117982035167,0.3737995607686152,0.05388776256509853,1
55.07,0.3200933281686556,0.3805888071300151,0.06049547896135948,1
55.08,0.320273926437087,0.379013725681503,0.05873979924441597,1
55.09,0.320453589484398,0.3791476619508787,0.05869407246648067,1
55.1,0.3206323138161981,0.3804801538329019,0.05984784001670379,1
55.11,0.3208100959682358,0.3830106532389394,0.062200557270703616,1
55.120000000000005,0.3209869325065144,0.3765078017259792,0.05552086921946481,1
55.13,0.321162820027406,0.3823549550954279,0.0611921350680219,1
55.14,0.3213377551577662,0.3740195518111608,0.05268179665339462,1
55.15,0.3215117345550453,0.3839287759125933,0.062417041357548,1
55.16,0.3216847549074006,0.3752995826740367,0.053614827766636064,1
55.17,0.3218568129338058,0.38608699766699,0.0642301847331842,1
55.18,0.3220279053841618,0.37167091132387,0.04964300593970816,1
55.19,0.3221980290394035,0.3781546898606872,0.0559566608212837,1
55.2,0.3223671807116079,0.3825936838389124,0.06022650312730449,1
55.21,0.3225353572440994,0.3742632902134135,0.051727932969314105,1
55.22,0.3227025555115554,0.3784080093959027,0.05570545388434728,1
55.23,0.3228687724201105,0.385410908152655,0.06254213573254452,1
55.24,0.3230340049074582,0.3821471626563265,0.05911315774886827,1
55.25,0.3231982499429539,0.3808066719795117,0.057608422036557805,1
55.26,0.3233615045277149,0.3875782641289204,0.06421675960120549,1
55.27,0.3235237656947203,0.3737345943069584,0.05021082861223808,1
55.28,0.3236850305089088,0.3895573043442863,0.06587227383537753,1
55.29,0.3238452960672772,0.3826178344284515,0.0587725383611743,1
55.3,0.3240045594989758,0.3842796431253987,0.06027508362642292,1
55.31,0.3241628179654034,0.3886237053873748,0.06446088742197137,1
55.32,0.3243200686603023,0.3793273896606049,0.055007321000302645,1
55.33,0.3244763088098505,0.3927631931618273,0.06828688435197677,1
55.34,0.3246315356727536,0.3806172169151313,0.05598568124237768,1
55.35,0.3247857465403357,0.3815481286588856,0.05676238211854989,1
55.36,0.3249389387366285,0.3855625886449673,0.060623649908338795,1
55.370000000000005,0.3250911096184607,0.3843790972518683,0.05928798763340759,1
55.38,0.325242256575544,0.3838901820902053,0.0586479255146613,1
55.39,0.3253923770305605,0.3828879957221777,0.05749561869161718,1
55.4,0.325541468439247,0.3814988566651177,0.05595738822587071,1
55.41,0.3256895282904789,0.3852381854747372,0.05954865718425828,1
55.42,0.3258365541063535,0.386429764805115,0.0605932106987615,1
55.43,0.3259825434422708,0.3849118932488594,0.05892934980658859,1
55.44,0.3261274938870149,0.3924460322284679,0.06631853834145301,1
55.45,0.3262714030628326,0.3848737102547196,0.058602307191887026,1
55.46,0.3264142686255115,0.3843709305763442,0.05795666195083271,1
55.47,0.3265560882644577,0.3863018476755653,0.0597457594111076,1
55.48,0.3266968597027711,0.3892010492426415,0.06250418953987036,1
55.49,0.3268365806973198,0.3855222941909034,0.05868571349358359,1
55.5,0.3269752490388146,0.3863296532481203,0.05935440420930571,1
55.51,0.3271128625518802,0.3812640486839856,0.0541511861321054,1
55.52,0.3272494190951272,0.387283005166184,0.0600335860710568,1
55.53,0.3273849165612216,0.3881283251486017,0.06074340858738009,1
55.54,0.3275193528769543,0.3832106730899109,0.05569132021295664,1
55.55,0.3276527260033076,0.3859635993855076,0.058310873382200035,1
55.56,0.3277850339355229,0.3892428751753901,0.061457841239867195,1
