time_s,true_yaw_rad,yaw_from_gyro,yaw_error_rad
0.0,0.0,-0.0,-0.0
0.01,6.978249327638398e-06,-0.000236203839550325,-0.0002431820888779634
0.02,2.093467873160356e-05,-0.000230501281944227,-0.00025143596067583055
0.03,4.186914971051865e-05,-0.000389995213172824,-0.00043186436288334264
0.04,6.978145451543449e-05,-0.000509916678968064,-0.0005796981334834985
0.05,0.0001046713161535,-0.000648750318313497,-0.000753421634466997
0.06,0.0001465383883932,-0.0006822515069924889,-0.0008287898953856889
0.07,0.0001953822557703,-0.000725575191250112,-0.000920957447020412
0.08,0.0002512024335953,-0.0006646401349927,-0.0009158425685880001
0.09,0.0003139983679625,-0.0006719902370595641,-0.000985988605022064
0.1,0.0003837694357596,-0.0007654601129513982,-0.0011492295487109982
0.11,0.0004605149446792,-0.0008320207501327061,-0.0012925356948119062
0.12,0.0005442341332309,-0.000973795085538498,-0.0015180292187693982
0.13,0.0006349261707555,-0.000962507406674468,-0.001597433577429968
0.14,0.0007325901574396,-0.0010368432296468041,-0.001769433387086404
0.15,0.0008372251243319,-0.0010326729027105082,-0.0018698980270424083
0.16,0.0009488300333605,-0.0009710772432051172,-0.0019199072765656172
0.17,0.0010674037773517,-0.0009888594545978712,-0.002056263231949571
0.18,0.0011929451800502,-0.00106981089208907,-0.0022627560721392697
0.19,0.0013254529961398,-0.001074236843839648,-0.002399689839979448
0.2,0.0014649259112659,-0.001081968762343967,-0.0025468946736098667
0.21,0.0016113625420595,-0.0010824482174927473,-0.002693810759552247
0.22,0.0017647614361618,-0.0008893319567190651,-0.002654093392880865
0.23,0.0019251210722503,-0.000857307746826857,-0.002782428819077157
0.24,0.0020924398600665,-0.0009693771389983808,-0.003061816999064881
0.25,0.002266716140444,-0.0009449183494199148,-0.0032116344898639147
0.26,0.0024479481853389,-0.0008871032217126467,-0.003335051407051547
0.27,0.0026361341978607,-0.0008293770290279827,-0.003465511226888683
0.28,0.0028312723123044,-0.0008272402694232516,-0.0036585125817276513
0.29,0.0030333605941844,-0.0008272266548711955,-0.0038605872490555956
0.3,0.0032423970402693,-0.0007656196860323234,-0.0040080167263016235
0.31,0.0034583795786177,-0.0007242504048321904,-0.00418262998344989
0.32,0.0036813060686156,-0.0006288141078679224,-0.004310120176483522
0.33,0.0039111743010151,-0.0006004892103066034,-0.004511663511321703
0.34,0.0041479819979739,-0.0005005488373354943,-0.004648530835309394
0.35,0.0043917268130966,-0.0003962793799967128,-0.004788006193093313
0.36,0.0046424063314764,-0.00026376463525651763,-0.004906170966732917
0.37,0.0049000180697393,-2.8536668113053718e-06,-0.004902871736550606
0.38,0.005164559476088,0.00016144612589744377,-0.005003113350190556
0.39,0.0054360279303483,0.0003139958248008539,-0.005122032105547446
0.4,0.0057144207440165,0.000433306422424709,-0.005281114321591791
0.41,0.0059997351603068,0.000635024642295977,-0.005364710518010823
0.42,0.0062919683542022,0.0007616184475018372,-0.005530349906700363
0.43,0.0065911174325041,0.0010025062613003273,-0.005588611171203773
0.44,0.0068971794338854,0.0009985805963275323,-0.005898598837557867
0.45,0.0072101513289429,0.0011647311096553044,-0.006045420219287596
0.46,0.0075300300202526,0.0014014143581261376,-0.006128615662126463
0.47,0.0078568123424248,0.0014538066247087704,-0.00640300571771603
0.48,0.0081904950621614,0.0018334748469177097,-0.006357020215243691
0.49,0.008531074878314,0.0019622496750123838,-0.0065688252033016155
0.5,0.0088785484219434,0.0020834400170997498,-0.006795108404843651
0.51,0.0092329122563799,0.002285905437433179,-0.00694700681894672
0.52,0.0095941628772855,0.002517304152257229,-0.00707685872502827
0.53,0.0099622967127166,0.0029658955903635316,-0.006996401122353068
