time_s,true_distance_m,encoder_distance_m,distance_error_m
0.0,0.0,-0.0,-0.0
0.01,0.002502764695444872,0.0025328494369919793,3.008474154710724e-05
0.02,0.005008294023710159,0.004992058376190687,-1.623564751947193e-05
0.03,0.007516587859549059,0.007563999642021551,4.741178247249199e-05
0.04,0.010027646015096658,0.010010666118038624,-1.6979897058034057e-05
0.05,0.012541468239876273,0.012556476273385653,1.5008033509379681e-05
0.06,0.015058054220807917,0.015107995963095778,4.994174228786091e-05
0.07,0.017577403582218876,0.017692111487636164,0.00011470790541728837
0.08,0.02009951588585638,0.02015120854092954,5.16926550731614e-05
0.09,0.022624390630902432,0.02264438804698363,1.999741608119804e-05
0.1,0.025152027253990714,0.025131266142007933,-2.076111198278177e-05
0.11,0.027682425129225603,0.027626246115241823,-5.6179013983779363e-05
0.12,0.03021558356820333,0.030173508060415237,-4.207550778809188e-05
0.13,0.03275150182003523,0.032690237380849946,-6.126443918528374e-05
0.14,0.03529017907137309,0.03526866283312964,-2.1516238243451946e-05
0.15,0.03783161444643663,0.037749266541408893,-8.234790502773676e-05
0.16,0.04037580700704311,0.04027816759234375,-9.763941469936172e-05
0.17,0.042922755752638965,0.04280733017938608,-0.000115425573252885
0.18,0.04547245962033363,0.0453653974742921,-0.00010706214604153108
0.19,0.048024917484935474,0.047904320580219546,-0.00012059690471592777
0.2,0.05058012815898974,0.05049473254447216,-8.539561451757771e-05
0.21,0.05313809039281868,0.05297187969954337,-0.00016621069327531213
0.22,0.055698802874563795,0.055531323117948096,-0.0001674797566156988
0.23,0.05826226423023009,0.05809540793686744,-0.00016685629336265356
0.24,0.06082847302373251,0.06067708320747628,-0.00015138981625623105
0.25,0.06339742775694446,0.0632119410303135,-0.00018548672663096233
0.26,0.06596912686974837,0.06579473861416729,-0.00017438825558108162
0.27,0.06854356874008842,0.06830316662091042,-0.00024040211917800147
0.28,0.07112075168402528,0.07088619306093942,-0.0002345586230858565
0.29,0.07370067395579302,0.07348570361957375,-0.00021497033621926953
0.3,0.0762833337478581,0.07604929447394591,-0.00023403927391218993
0.31,0.07886872919098036,0.07864158350775544,-0.00022714568322491913
0.32,0.08145685835427613,0.08127524803269041,-0.0001816103215857151
0.33,0.08404771924528354,0.0839018459113586,-0.00014587333392493407
0.34,0.08664130981002974,0.08649878157481335,-0.0001425282352163909
0.35,0.08923762793310026,0.08909862811736469,-0.00013899981573557707
0.36,0.09183667143771054,0.09175272171679077,-8.394972091976816e-05
0.37,0.09443843808577933,0.09433854851002664,-9.988957575268742e-05
0.38,0.09704292557800433,0.09690812649776236,-0.00013479908024197074
0.39,0.09965013155393984,0.09952238779681465,-0.00012774375712519548
0.4,0.1022600535920765,0.10213285161581798,-0.0001272019762585258
0.41,0.10487268920992299,0.10476336654325108,-0.00010932266667190715
0.42,0.10748803586408998,0.10736025886473156,-0.00012777699935841158
0.43,0.11010609095037589,0.10997141191349444,-0.00013467903688145488
0.44,0.11272685180385494,0.11260123585201058,-0.0001256159518443628
0.45,0.11535031569896709,0.11523516165593525,-0.0001151540430318343
0.46,0.11797647984961007,0.1178369540868452,-0.0001395257627648666
0.47,0.12060534140923351,0.12044016941805404,-0.00016517199117947745
0.48,0.12323689747093504,0.12307851206110496,-0.00015838540983008353
0.49,0.12587114506755842,0.12569115986295984,-0.0001799852045985817
