time_s,true_yaw_rad,yaw_corrected
0.0,0.0,-0.0
0.01,6.978249327638398e-06,-0.00012391431397581963
0.02,2.093467873160356e-05,-5.922230795216274e-06
0.03,4.186914971051865e-05,-5.3126636449307914e-05
0.04,6.978145451543449e-05,-6.075857667004256e-05
0.05,0.0001046713161535,-8.73026904409702e-05
0.06,0.0001465383883932,-8.514353545456874e-06
0.07,0.0001953822557703,6.045148777142554e-05
0.08,0.0002512024335953,0.0002336760696033428
0.09,0.0003139983679625,0.00033861549311098413
0.1,0.0003837694357596,0.0003574351427936555
0.11,0.0004605149446792,0.0004031640311868528
0.12,0.0005442341332309,0.00037367922135556617
0.13,0.0006349261707555,0.0004972564257941016
0.14,0.0007325901574396,0.000535210128396271
0.15,0.0008372251243319,0.0006516699809070722
0.16,0.0009488300333605,0.0008255551659869687
0.17,0.0010674037773517,0.0009200624801687201
0.18,0.0011929451800502,0.0009514005682520264
0.19,0.0013254529961398,0.001059264142075954
0.2,0.0014649259112659,0.0011638217491461403
0.21,0.0016113625420595,0.0012756318195718652
0.22,0.0017647614361618,0.0015810376059200528
0.23,0.0019251210722503,0.0017253513413867663
0.24,0.0020924398600665,0.0017255714747897476
0.25,0.002266716140444,0.0018623197899427192
0.26,0.0024479481853389,0.002032424443224493
0.27,0.0026361341978607,0.0022024401614836623
0.28,0.0028312723123044,0.002316866446662899
0.29,0.0030333605941844,0.00242916958678946
0.3,0.0032423970402693,0.0026030660812028377
0.31,0.0034583795786177,0.002756724887977476
0.32,0.0036813060686156,0.0029644507105162496
0.33,0.0039111743010151,0.003105065133652074
0.34,0.0041479819979739,0.0033172950321976886
0.35,0.0043917268130966,0.003533854015110975
0.36,0.0046424063314764,0.0037786582854256756
0.37,0.0049000180697393,0.004151858779445393
0.38,0.005164559476088,0.004428448097728648
0.39,0.0054360279303483,0.0046932873222065635
0.4,0.0057144207440165,0.004924887445404924
0.41,0.0059997351603068,0.005238895190850697
0.42,0.0062919683542022,0.005477778521631062
0.43,0.0065911174325041,0.005830955861004058
0.44,0.0068971794338854,0.005939319721605768
0.45,0.0072101513289429,0.006217759760508046
0.46,0.0075300300202526,0.006566732534553385
0.47,0.0078568123424248,0.006731414326710522
0.48,0.0081904950621614,0.007223372074493967
0.49,0.008531074878314,0.007464436428163147
0.5,0.0088785484219434,0.007697916295825018
0.51,0.0092329122563799,0.008012671241732952
0.52,0.0095941628772855,0.008356359482131507
0.53,0.0099622967127166,0.008917240445812316
0.54,0.0103373101231888,0.009423025275417005
0.55,0.0107191994017417,0.00974039451957881
0.56,0.011107960774006,0.010233160180873611
0.5700000000000001,0.0115035903982714,0.010552937439593879
0.58,0.0119060843655558,0.010959989872096869
0.59,0.0123154386996751,0.011408499774076914
0.6,0.0127316493573153,0.011930404424511315
0.61,0.0131547122281052,0.012393673017863793
0.62,0.0135846231346899,0.01283883812433346
0.63,0.0140213778328064,0.013208157325874699
0.64,0.0144649720113598,0.013592662796316492
0.65,0.0149154012925006,0.014036384152208583
0.66,0.015372661231704,0.014555005452604772
0.67,0.0158367473178494,0.014984011049926095
0.68,0.0163076549733014,0.015479612714842557
0.6900000000000001,0.0167853795539929,0.0159467897286338
0.7000000000000001,0.0172699163495078,0.016558381520615565
0.71,0.0177612605831661,0.017055803992026324
0.72,0.0182594074121099,0.01751718908010766
0.73,0.0187643519273903,0.017964916646766874
0.74,0.0192760891540557,0.018515869000015096
0.75,0.0197946140512415,0.018901213503716995
0.76,0.0203199215122605,0.01946623924149676
0.77,0.0208520063646948,0.02003046001488226
0.78,0.021390863370489,0.020546891371563028
0.79,0.0219364872260441,0.021023278075130145
0.8,0.022488872562313,0.021415460374645236
0.81,0.0230480139448974,0.02207372834417448
0.8200000000000001,0.0236139058741448,0.02262134920824663
0.8300000000000001,0.0241865427852479,0.02322868021094645
0.84,0.0247659190483448,0.023774614746669368
0.85,0.0253520289686198,0.024250120881743793
0.86,0.0259448667864058,0.024893218521887354
0.87,0.0265444266772884,0.025485334996149495
0.88,0.02715070275221,0.025980149410327478
0.89,0.027763689057576,0.026600189745466615
0.9,0.0283833795753618,0.02724706317136555
0.91,0.029009768223221,0.027786282615792475
0.92,0.0296428488545947,0.0283508782973971
0.93,0.0302826152588218,0.028988919211804524
0.94,0.0309290611612512,0.029601428816613626
0.95,0.031582180223354,0.03014220859169201
0.96,0.0322419660428378,0.03099956645841234
0.97,0.0329084121537617,0.03169883332144947
0.98,0.0335815120266524,0.03246738410888393
0.99,0.0342612590686216,0.03318720279404596
1.0,0.0349476466234848,0.03383962482745898
1.01,0.0356406679718805,0.034483505847219195
1.02,0.0363403163313911,0.03505987326636058
1.03,0.0370465848566651,0.03582244753973459
1.04,0.0377594666395395,0.036489175331160084
1.05,0.0384789547091647,0.037228204353609
1.06,0.039205042032129,0.037922838949886725
1.07,0.0399377215125857,0.038635296012267145
1.08,0.0406769859923801,0.03929138354036987
1.09,0.0414228282511784,0.0399128382631433
1.1,0.0421752410065971,0.040683624768027005
1.11,0.0429342169143344,0.04154635310799724
1.12,0.0436997485683016,0.042279396303064584
1.13,0.0444718285007565,0.0430856191293086
1.14,0.0452504491824375,0.04378924201924606
1.15,0.0460356030226987,0.04454793191785748
1.16,0.0468272823696464,0.04548949425820519
1.17,0.0476254795102767,0.04631655612243198
1.18,0.0484301866706137,0.04707690622466423
1.19,0.0492413960158495,0.04783533991008502
1.2,0.0500590996504846,0.04863518080278339
1.21,0.0508832896184699,0.049494655255013634
1.22,0.0517139579033498,0.050347287306373084
1.23,0.0525510964284057,0.05110789975804043
1.24,0.0533946970568014,0.05211887284408747
1.25,0.054244751591729,0.0530622196343908
1.26,0.0551012517765565,0.05393707247588524
1.27,0.0559641892949755,0.05466192259650307
1.28,0.0568335557711511,0.055600910037109146
1.29,0.0577093427698717,0.056486807658679986
1.3,0.0585915417967011,0.05742984810389969
1.31,0.0594801442981306,0.058272230603948164
1.32,0.0603751416617325,0.059136404192343714
1.33,0.0612765252163151,0.060212564489905175
1.34,0.0621842862320781,0.06104104704785041
1.35,0.0630984159207692,0.06198616509119622
1.36,0.0640189054358422,0.06290949434479927
1.37,0.0649457458726157,0.06379332729600616
1.38,0.0658789282684326,0.06463859822654477
1.39,0.0668184436028214,0.06556073074761924
1.4,0.0677642827976579,0.06641567386340619
1.41,0.0687164367173281,0.06746983345683494
1.42,0.0696748961688924,0.06851478272076932
1.43,0.07063965190225,0.06953626311454714
1.44,0.0716106946103056,0.07050329032636836
1.45,0.072588014929136,0.07138549997554547
1.46,0.073571603438158,0.07228549283500661
1.47,0.074561450660298,0.07323181536492226
1.48,0.0755575470621613,0.07417216074629158
1.49,0.0765598830542036,0.07521066708285067
1.5,0.077568448990903,0.07622696729240594
1.51,0.0785832351709329,0.07726554777272289
1.52,0.0796042318373362,0.07828132286211494
1.53,0.0806314291777,0.07937567952653869
1.54,0.0816648173243319,0.08039596660111739
1.55,0.082704386354437,0.08145917676115702
1.56,0.0837501262902956,0.08250390389537464
1.57,0.0848020270994424,0.08370577779234642
1.58,0.0858600786948462,0.08481461094040905
1.59,0.0869242709350909,0.08601861058360696
