time_s,true_accel_mps2,accel_corrected,true_yaw_rad,yaw_corrected,true_speed_mps,encoder_speed_mps,slip_flag,slip_detected
0.0,0.0276469544487234,0.02140749007649087,0.0,-0.0,0.25,-0.0030599975669434,0,True
0.01,0.0276466413264342,0.023871982737987598,6.978249327638398e-06,-0.00012391431397581963,0.2502764695444872,0.2532849436991979,0,False
0.02,0.0276457019701387,0.022924662286579973,2.093467873160356e-05,-5.922230795216274e-06,0.2505529328265287,0.2459208939198708,0,False
0.03,0.0276441364115559,0.023968574610064023,4.186914971051865e-05,-5.3126636449307914e-05,0.25082938358389,0.2571941265830864,0,False
0.04,0.0276419447035741,0.02510907275116597,6.978145451543449e-05,-6.075857667004256e-05,0.2511058155547598,0.2446666476017072,0,False
0.05,0.0276391269202369,0.024378186990527226,0.0001046713161535,-8.73026904409702e-05,0.2513822224779615,0.2545810155347029,0,False
0.06,0.0276356831567042,0.023447500347343466,0.0001465383883932,-8.514353545456874e-06,0.2516585980931645,0.2551519689710126,0,False
0.07,0.0276316135292969,0.021665982403892194,0.0001953822557703,6.045148777142554e-05,0.2519349361410956,0.2584115524540385,0,False
0.08,0.0276269181754884,0.023266525902405504,0.0002512024335953,0.0002336760696033428,0.2522112303637505,0.2459097053293379,0,False
0.09,0.027621597253874,0.02280658278310462,0.0003139983679625,0.00033861549311098413,0.2524874745046053,0.2493179506054089,0,False
0.1,0.0276156509441766,0.020219256020635436,0.0003837694357596,0.0003574351427936555,0.2527636623088279,0.2486878095024301,0,False
0.11,0.0276090794472411,0.02168414947646642,0.0004605149446792,0.0004031640311868528,0.2530397875234889,0.2494979973233891,0,False
0.12,0.0276018829850427,0.025502852160579476,0.0005442341332309,0.00037367922135556617,0.2533158438977728,0.2547261945173414,0,False
0.13,0.0275940618006537,0.022987325127349554,0.0006349261707555,0.0004972564257941016,0.2535918251831897,0.2516729320434706,0,False
0.14,0.0275856161582405,0.019710692230762373,0.0007325901574396,0.000535210128396271,0.2538677251337858,0.2578425452279696,0,False
0.15,0.027576546343086,0.02144262254761481,0.0008372251243319,0.0006516699809070722,0.2541435375063545,0.248060370827926,0,False
0.16,0.0275668526615313,0.02161992857802029,0.0009488300333605,0.0008255551659869687,0.2544192560606476,0.252890105093485,0,False
0.17,0.0275565354409923,0.024446940484341463,0.0010674037773517,0.0009200624801687201,0.2546948745595851,0.2529162587042332,0,False
0.18,0.0275455950299541,0.026742989699589596,0.0011929451800502,0.0009514005682520264,0.2549703867694674,0.2558067294906027,0,False
0.19,0.0275340317979377,0.029170957647214214,0.0013254529961398,0.001059264142075954,0.2552457864601842,0.2538923105927442,0,False
0.2,0.0275218461355086,0.031174437079487388,0.0014649259112659,0.0011638217491461403,0.2555210674054262,0.2590411964252614,0,False
