timestamp,lot_id,defect_type,predicted_class,top1_probability,top2_class,top2_probability,probability_gap,review_required
2026-01-04 13:11:00,LOT-011,normal,normal,0.8766613893551466,particle,0.06542490410651682,0.8112364852486298,False
2026-01-04 15:56:00,LOT-016,normal,normal,0.8638477922506039,particle,0.094981906846339,0.7688658854042649,False
2026-01-05 01:34:00,LOT-036,normal,normal,0.8657543374112212,particle,0.0814429107040968,0.7843114267071244,False
2026-01-05 01:10:00,LOT-035,normal,normal,0.9071571551327476,particle,0.05117317162228746,0.8559839835104601,False
2026-01-04 18:08:00,LOT-021,normal,normal,0.7849777194711657,particle,0.17815593901135215,0.6068217804598135,False
2026-01-04 23:12:00,LOT-031,normal,normal,0.9007555827835393,particle,0.06151711122511585,0.8392384715584235,False
2026-01-04 20:59:00,LOT-026,normal,normal,0.8851481163686712,particle,0.07320699963028675,0.8119411167383844,False
2026-01-04 20:52:00,LOT-026,normal,normal,0.8642687144885377,particle,0.06698680029805403,0.7972819141904837,False
2026-01-04 19:43:00,LOT-024,normal,normal,0.8514849896451636,uniformity,0.0894731919169649,0.7620117977281987,False
2026-01-04 11:46:00,LOT-008,normal,normal,0.6623181530438658,etch_rate,0.29113505749483726,0.3711830955490285,False
2026-01-05 01:46:00,LOT-036,normal,normal,0.8985260733916766,particle,0.04655001014036089,0.8519760632513157,False
2026-01-04 16:06:00,LOT-017,particle,normal,0.8641493303866897,particle,0.08542610395552412,0.7787232264311656,False
2026-01-04 19:24:00,LOT-023,normal,normal,0.9044909677998927,particle,0.03976151535262585,0.8647294524472668,False
2026-01-04 08:45:00,LOT-002,normal,normal,0.9079487369291499,uniformity,0.038370008441603314,0.8695787284875466,False
2026-01-04 10:52:00,LOT-006,normal,normal,0.9003762516383645,uniformity,0.04161805337085603,0.8587581982675085,False
2026-01-04 12:45:00,LOT-010,normal,normal,0.8526708711479857,etch_rate,0.07845903730561009,0.7742118338423756,False
2026-01-05 03:07:00,LOT-039,etch_rate,normal,0.6866977905878796,etch_rate,0.2645868114233754,0.4221109791645042,False
2026-01-04 21:38:00,LOT-028,normal,normal,0.8777704593313257,particle,0.0826648600516156,0.7951055992797101,False
2026-01-05 02:50:00,LOT-038,normal,normal,0.8439359494739369,uniformity,0.10672157641999898,0.7372143730539379,False
2026-01-04 17:11:00,LOT-019,normal,normal,0.9010429813521696,particle,0.05912048692195696,0.8419224944302127,False
2026-01-05 01:28:00,LOT-035,particle,normal,0.8770456957428046,particle,0.07299122444030338,0.8040544713025012,False
2026-01-04 16:09:00,LOT-017,normal,normal,0.8954514984520371,particle,0.043889275924650493,0.8515622225273866,False
2026-01-04 15:26:00,LOT-015,normal,normal,0.8632641236486723,particle,0.0971649682162305,0.7660991554324419,False
2026-01-04 17:47:00,LOT-020,normal,normal,0.8920765484098907,particle,0.05745747789076475,0.834619070519126,False
2026-01-04 19:28:00,LOT-023,normal,normal,0.6626800251432723,etch_rate,0.2934507152614613,0.36922930988181096,False
2026-01-04 08:09:00,LOT-001,normal,normal,0.8766963634970456,particle,0.07148340688610509,0.8052129566109405,False
2026-01-04 15:02:00,LOT-015,normal,normal,0.8856635949788506,uniformity,0.04552816647693036,0.8401354285019202,False
2026-01-05 01:30:00,LOT-036,normal,normal,0.8768208920752175,particle,0.07888919984083581,0.7979316922343818,False
2026-01-05 00:40:00,LOT-034,normal,normal,0.8315890228121757,particle,0.1325701065606896,0.6990189162514862,False
2026-01-04 16:10:00,LOT-017,normal,normal,0.8832288466332697,uniformity,0.06464101969781602,0.8185878269354537,False
2026-01-04 23:25:00,LOT-031,etch_rate,normal,0.6985277390360948,etch_rate,0.25749680207465897,0.4410309369614358,False
2026-01-05 02:05:00,LOT-037,normal,normal,0.8950067528317462,uniformity,0.049659630325444314,0.845347122506302,False
2026-01-04 17:54:00,LOT-020,normal,normal,0.8081708746210606,etch_rate,0.11310767034584657,0.6950632042752141,False
2026-01-04 12:51:00,LOT-010,normal,normal,0.8927853491010639,particle,0.05673972679311252,0.8360456223079513,False
2026-01-05 01:41:00,LOT-036,normal,normal,0.8861081307559084,particle,0.07524757355021812,0.8108605572056903,False
2026-01-04 08:25:00,LOT-001,uniformity,normal,0.8089967099328875,uniformity,0.1420792881657952,0.6669174217670923,False
2026-01-04 16:16:00,LOT-017,normal,normal,0.7527905463184646,etch_rate,0.17933005511449204,0.5734604912039726,False
2026-01-04 08:34:00,LOT-002,normal,normal,0.835643565722712,uniformity,0.11568311288279942,0.7199604528399126,False
2026-01-04 23:26:00,LOT-031,normal,normal,0.7392062728072816,etch_rate,0.20089846762284258,0.538307805184439,False
2026-01-05 02:31:00,LOT-038,normal,normal,0.8821220250871846,particle,0.07340857710297999,0.8087134479842046,False
2026-01-04 17:18:00,LOT-019,particle,normal,0.9007416548595016,particle,0.05531921632660852,0.8454224385328931,False
2026-01-04 17:38:00,LOT-020,normal,normal,0.8480502601721517,uniformity,0.0712047916174558,0.7768454685546959,False
2026-01-04 18:22:00,LOT-021,normal,normal,0.8373018576899977,particle,0.11831533769744924,0.7189865199925484,False
2026-01-04 12:47:00,LOT-010,normal,normal,0.8854583564760153,uniformity,0.04888208403495453,0.8365762724410608,False
2026-01-05 01:18:00,LOT-035,normal,normal,0.8279196442388862,etch_rate,0.10877630319409665,0.7191433410447896,False
2026-01-05 00:07:00,LOT-033,normal,normal,0.8997629419913973,particle,0.04994182907740632,0.849821112913991,False
2026-01-05 03:14:00,LOT-039,normal,normal,0.8981441629003662,particle,0.05545121776823422,0.842692945132132,False
2026-01-04 10:36:00,LOT-006,normal,normal,0.8337171830923417,particle,0.11901948572838154,0.7146976973639602,False
2026-01-05 01:19:00,LOT-035,normal,normal,0.7924238175236615,particle,0.17109996734999386,0.6213238501736676,False
2026-01-04 12:34:00,LOT-010,normal,normal,0.8463004684129926,particle,0.08156109676378283,0.7647393716492097,False
2026-01-04 11:01:00,LOT-007,normal,normal,0.8476989123795308,particle,0.11214265754016457,0.7355562548393662,False
2026-01-04 10:19:00,LOT-005,normal,normal,0.89439099221131,uniformity,0.050897539726817764,0.8434934524844923,False
2026-01-05 03:18:00,LOT-039,normal,normal,0.9007206759268233,particle,0.04643527656552992,0.8542853993612933,False
2026-01-04 16:39:00,LOT-018,normal,normal,0.6061523234267107,etch_rate,0.3457167927571167,0.26043553066959396,False
2026-01-04 09:40:00,LOT-004,normal,normal,0.8429199830234774,uniformity,0.10892733542280351,0.7339926476006738,False
2026-01-04 23:08:00,LOT-031,normal,normal,0.7593604029883024,etch_rate,0.193150493941465,0.5662099090468374,False
2026-01-04 23:42:00,LOT-032,normal,normal,0.7040623937879666,etch_rate,0.24927304933891206,0.4547893444490546,False
2026-01-05 03:56:00,LOT-040,normal,normal,0.8145421759474903,uniformity,0.1093643284798359,0.7051778474676544,False
2026-01-04 13:44:00,LOT-012,normal,normal,0.9020721837182303,uniformity,0.04225252690735692,0.8598196568108734,False
2026-01-04 15:49:00,LOT-016,normal,normal,0.8737211944947697,particle,0.08465007271214575,0.789071121782624,False
2026-01-04 21:22:00,LOT-027,normal,normal,0.8864147137157371,particle,0.06716915922706845,0.8192455544886686,False
2026-01-04 10:41:00,LOT-006,normal,normal,0.8826316973778819,particle,0.07625333429278362,0.8063783630850984,False
2026-01-04 12:59:00,LOT-010,normal,normal,0.8551640665565081,particle,0.06395337502841277,0.7912106915280953,False
2026-01-04 12:16:00,LOT-009,etch_rate,normal,0.6536906300112982,etch_rate,0.3050671860500953,0.34862344396120293,False
2026-01-04 22:25:00,LOT-029,normal,normal,0.7564040489560865,etch_rate,0.1902900485420221,0.5661140004140643,False
2026-01-04 09:33:00,LOT-004,uniformity,normal,0.8946760385918108,uniformity,0.05070617339264264,0.8439698651991682,False
2026-01-04 14:19:00,LOT-013,particle,normal,0.8974841307319892,particle,0.05812792794946048,0.8393562027825288,False
