timestamp,lot_id,recipe,chamber_id,chamber_temp_c,chamber_pressure_pa,rf_power_w,gas_flow_sccm,vibration_g,particle_count,etch_rate_nm_min,uniformity_percent,defect_type,predicted_class
2026-01-04 18:08:00,LOT-021,ETCH-B,CH-02,71.43607516035723,18.1026861508808,834.6143173112114,122.66831416108684,0.0795525470249813,4,519.6160238940004,96.4470980702922,normal,particle
2026-01-04 11:46:00,LOT-008,ETCH-B,CH-03,70.91515739329685,17.7914755958217,858.1243307294046,118.02026655439708,0.0937592937259033,2,489.0413105957548,98.41649656712764,normal,etch_rate
2026-01-04 16:06:00,LOT-017,ETCH-C,CH-02,71.39810672925093,18.33077000873754,842.6390093956796,117.47533119435556,0.0592952604918755,8,528.3931388065816,95.90159454157894,particle,normal
2026-01-05 01:28:00,LOT-035,ETCH-C,CH-02,72.63496768739394,17.945142873934564,854.8584946449174,118.3755505303034,0.0747650465859304,8,525.0846912993205,95.66417906102892,particle,normal
2026-01-04 19:28:00,LOT-023,ETCH-A,CH-03,71.74447611993068,18.139573307611528,855.6407196561925,124.92384768274142,0.0600535030650718,2,499.3299049898331,96.78147667834816,normal,etch_rate
2026-01-05 00:40:00,LOT-034,ETCH-B,CH-01,71.57600399345466,18.274970772199637,849.4488854709371,121.26743330072308,0.0862865214891563,4,524.0236834924535,97.01227251171734,normal,particle
2026-01-04 17:54:00,LOT-020,ETCH-A,CH-01,71.97868942099437,17.95925518227024,815.0223698330487,124.12507674165764,0.083523344826698,4,498.0942181539832,93.64904458506408,normal,etch_rate
2026-01-04 08:25:00,LOT-001,ETCH-C,CH-02,70.91688426636556,17.040152249588655,852.3607311995414,121.53676764227536,0.0812232619378653,4,522.6022785236964,92.81900404118628,uniformity,normal
2026-01-04 16:16:00,LOT-017,ETCH-C,CH-03,71.83196914140227,18.33132901587759,855.8461206078216,117.19584436554048,0.0514990146461697,5,498.26347858564907,94.07650706558834,normal,etch_rate
2026-01-04 23:26:00,LOT-031,ETCH-A,CH-02,70.81824058852648,17.76381420621525,819.6097473329273,124.37379506725942,0.0943493730415204,2,501.43143398517714,92.95354804271892,normal,etch_rate
2026-01-04 17:18:00,LOT-019,ETCH-A,CH-02,72.68877109070985,17.769888113611074,852.0994415066432,119.3632430703292,0.0599902163403627,4,522.3082459913344,96.39828699585117,particle,normal
2026-01-05 01:19:00,LOT-035,ETCH-A,CH-03,72.13653680221647,18.271955837161357,846.6885893297676,122.82716754949122,0.0843837266544243,5,530.2990011602545,96.11392927992928,normal,particle
