timestamp,lot_id,particle_count,chamber_temp_c
2026-01-01 09:03:43,LOT-C,24,77.28232157702072
2026-01-01 09:03:44,LOT-C,24,77.02752644034649
2026-01-01 09:03:48,LOT-C,22,75.65672328373032
2026-01-01 09:03:49,LOT-C,18,76.54655701482673
2026-01-01 09:03:45,LOT-C,18,77.9551987399594
2026-01-01 09:03:41,LOT-C,17,77.13147522508703
2026-01-01 09:03:46,LOT-C,17,78.91616806462329
2026-01-01 09:03:40,LOT-C,16,76.42878369203801
2026-01-01 09:03:47,LOT-C,15,78.6311195097928
2026-01-01 09:03:53,LOT-C,15,78.65654307730708
2026-01-01 09:03:42,LOT-C,15,76.83620925373441
2026-01-01 09:03:54,LOT-C,13,76.73709748490657
2026-01-01 09:03:50,LOT-C,13,75.93451373392503
2026-01-01 09:03:51,LOT-C,12,77.32043630430914
2026-01-01 09:03:52,LOT-C,10,77.36347539171041
