timestamp,lot_id,chamber_temp_c,chamber_pressure_pa
2026-01-01 09:03:40,LOT-C,76.42878369203801,20.485927936014946
2026-01-01 09:03:41,LOT-C,77.13147522508703,20.17749807703889
2026-01-01 09:03:42,LOT-C,76.83620925373441,21.44556905984244
2026-01-01 09:03:43,LOT-C,77.28232157702072,20.335950364073906
2026-01-01 09:03:44,LOT-C,77.02752644034649,20.83804512038376
2026-01-01 09:03:45,LOT-C,77.9551987399594,20.10310193089993
2026-01-01 09:03:46,LOT-C,78.91616806462329,21.475470886006363
2026-01-01 09:03:47,LOT-C,78.6311195097928,20.709909550405488
2026-01-01 09:03:48,LOT-C,75.65672328373032,20.523555941486883
2026-01-01 09:03:49,LOT-C,76.54655701482673,21.297455846959167
2026-01-01 09:03:50,LOT-C,75.93451373392503,20.5109187699181
2026-01-01 09:03:51,LOT-C,77.32043630430914,20.563832760701384
2026-01-01 09:03:52,LOT-C,77.36347539171041,20.03343596064209
2026-01-01 09:03:53,LOT-C,78.65654307730708,20.60524486106225
2026-01-01 09:03:54,LOT-C,76.73709748490657,19.859480047948253
