timestamp,lot_id,chamber_temp_c,chamber_pressure_pa,rf_power_w,gas_flow_sccm,vibration_g,particle_count,process_state,chamber_temp_c_range_violation,chamber_pressure_pa_range_violation,rf_power_w_range_violation,gas_flow_sccm_range_violation,vibration_g_range_violation,particle_count_range_violation,any_range_violation
2026-01-01 09:00:00,LOT-A,72.24377366380355,18.604572574957466,856.1849248348097,120.77938341064,0.0601618830006248,3,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:01,LOT-A,71.1680127150076,17.463148508279353,843.0695333517322,120.20510636745252,0.0727070880395143,4,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:02,LOT-A,72.60036095664516,18.302339804794364,865.2933666032949,119.70511502016366,0.0863034006421187,2,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:03,LOT-A,72.75245177311297,17.885016171906987,842.468949562757,123.17655221429852,0.0784640494008335,5,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:04,LOT-A,70.43917184907693,17.978536478959903,842.3606166027731,118.75558510941056,0.0702415456939161,8,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:05,LOT-A,70.95825639451014,17.63148552125362,856.4935793296544,124.12059634104816,0.0698868130741323,0,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:06,LOT-A,72.10227232253384,17.882940339675443,859.1551177880432,119.5491371015438,0.0693149440338093,6,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:07,LOT-A,71.74700592612514,18.455015608144635,855.3771923672344,117.44596711005954,0.0668073555701158,7,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:08,LOT-A,71.98655907399657,18.203929334695697,829.7728321913823,120.13983916198966,0.1142244931591409,5,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:09,LOT-A,71.31756485794114,18.60630906189348,856.456413279139,117.84750959936248,0.0844626660677833,2,stabilize,False,False,False,False,False,False,False
2026-01-01 09:00:10,LOT-A,72.70351837989027,18.412094161142196,837.5883033799072,118.496488304373,0.093301385816071,5,stabilize,False,False,False,False,False,False,False
