time_s,motor_temp_c,motor_current_a,bearing_vibration_g,battery_voltage_v,battery_internal_resistance_ohm,wheel_friction_index,health_score,failure_label,motor_temp_warn,vibration_warn,battery_warn,resistance_warn,any_warning
760.5,61.8060059713552,6.830266067561203,0.4603812439638173,12.17806475747518,0.0705271657965847,0.1485775078795999,20.722130223793727,1,False,True,False,False,True
761.0,63.05859493540764,6.954483184187229,0.4557917380382836,12.221114291449195,0.0722207775831742,0.1478330746162897,19.822348098269003,1,False,True,False,False,True
762.0,61.36319923765035,6.920489423479148,0.47821058256415,12.220241983486774,0.0721791151993444,0.1474060570134198,19.254715680351588,1,False,True,False,False,True
762.5,62.5576516525756,6.867461603290574,0.4576932355675097,12.208253421990692,0.0742839830912173,0.1495421715429721,19.024716222591813,1,False,True,False,False,True
763.0,61.60451252822797,6.835973640466517,0.4810781346597654,12.187124608813171,0.0716148204818555,0.1437781323261786,18.16958604352465,1,False,True,False,False,True
764.5,61.77170001379355,6.7276307610075765,0.4684283738380688,12.177697595516634,0.0689712379906651,0.1498259525169426,21.53232804004764,1,False,True,False,False,True
766.0,63.58519921230822,6.674205231114463,0.4574973441519885,12.19552901281287,0.0725449177086673,0.1561051193247226,19.93481267068529,1,False,True,False,False,True
766.5,62.34548976970342,6.9734002422097205,0.4743629825597728,12.141283980682177,0.0723972674604971,0.1453133411239123,14.528620062875296,1,False,True,False,False,True
767.0,63.15637352869325,6.524242754636672,0.4818308967950734,12.163044601444517,0.0702077929713574,0.1530876875695012,18.626670748123903,1,False,True,False,False,True
767.5,62.82323546046607,7.116507368606278,0.4630146516689519,12.20168728976053,0.0724963505347414,0.1469013858065564,16.878741562741794,1,False,True,False,False,True
768.5,61.73420775942131,6.983804650723181,0.4557982645359067,12.145091938477076,0.0722454162067383,0.1475526028583882,17.608030021967682,1,False,True,False,False,True
769.0,62.00244372542803,6.857980572891645,0.4716570501024502,12.184175759783017,0.0766667091876176,0.1457267093483332,15.522504984267057,1,False,True,False,False,True
769.5,62.64636173929781,6.970791385593088,0.4681856484995879,12.162727102781965,0.0727277868060542,0.1406217399762958,15.726440723633008,1,False,True,False,False,True
770.0,61.27607321211727,6.842752312299044,0.4570169851139612,12.137553039707278,0.0735112085899242,0.1443711944082577,17.995424387476234,1,False,True,False,False,True
771.0,60.05778747224838,7.010692564636076,0.4590306627164651,12.165517431678955,0.0715214499345343,0.1506616627354887,20.20262820229468,1,False,True,False,False,True
771.5,62.49804245940067,6.814761120909631,0.460000782095132,12.15684192416131,0.0737527567904856,0.1421646989293258,17.24020298893386,1,False,True,False,False,True
772.0,63.738109552956566,6.993662469185447,0.4556268040831283,12.191247774118125,0.072079908781414,0.1413821838171461,17.52176781475589,1,False,True,False,False,True
772.5,63.20085798467897,7.094387209268983,0.4800389090820393,12.152716710135904,0.0714731081690588,0.1481516472283973,13.007676507536958,1,False,True,False,False,True
773.0,60.51331206750969,6.789336757731543,0.460158350026311,12.135165183433111,0.0711177682170982,0.144149103462717,20.213432984960725,1,False,True,False,False,True
773.5,61.806526520845225,6.542504779150884,0.4863053837082882,12.139367809667371,0.0715458537836037,0.1485699739741818,17.56017571373813,1,False,True,False,False,True
774.0,63.40323510053664,6.791874674197973,0.4903638679001755,12.150504041535406,0.0719990468906872,0.1518319099834486,13.55103358248576,1,False,True,False,False,True
774.5,63.05576733207754,6.969658654687213,0.4735419094557982,12.197628893225112,0.0699097447958734,0.1476527062968219,17.903810880127125,1,False,True,False,False,True
775.5,62.26791837340897,6.915122867557661,0.4822690696172549,12.166124620873022,0.0733885137338538,0.1494602672447222,14.654518193691892,1,False,True,False,False,True
776.0,62.566347863108085,6.912817748083718,0.4701254421875753,12.142337822464086,0.0721258451400549,0.1595199996099507,15.489117230253198,1,False,True,False,False,True
776.5,62.04267299680513,6.831078632233808,0.4721487750424196,12.1792862376432,0.0727848512518528,0.1487839655443996,17.74354758338576,1,False,True,False,False,True
777.0,62.09599462048615,6.877034220890397,0.4838396396270148,12.16632762347476,0.071880534742312,0.1434401702693235,15.873797606077252,1,False,True,False,False,True
778.0,64.19836053576533,6.718978718670923,0.4997254410249135,12.172779391401154,0.068624196081628,0.1490863082572937,15.163475702376196,1,False,True,False,False,True
778.5,62.21177404275755,6.623328958160782,0.46715602421566,12.177670642521973,0.0708829629691312,0.1459329800010807,20.88709511381121,1,False,True,False,False,True
779.0,61.375518284844055,6.775358845181538,0.4720587707189524,12.173076052724676,0.0727540264969654,0.1461067986757311,18.67301311337608,1,False,True,False,False,True
779.5,63.601841688534655,6.631373199411492,0.4756214662001099,12.192286541714925,0.0738435137273131,0.1490418723627892,17.159198744090425,1,False,True,False,False,True
780.0,61.739434908432095,7.048455891923947,0.4857972981643703,12.127551802257218,0.0712495155384882,0.1511987229646644,13.29342046409052,1,False,True,False,False,True
780.5,61.95137522107042,6.917786590421647,0.4823815708054341,12.132788549913093,0.0728719100654887,0.1448738860294024,13.777744743593118,1,False,True,False,False,True
781.0,61.71800632488892,7.067233962027075,0.486071916247166,12.218665131689956,0.0726272742646002,0.1514567163709044,16.407257764033453,1,False,True,False,False,True
