time_s,motor_temp_c,motor_temp_ma
0.0,44.92468466770018,44.92468466770018
0.5,44.48068106099648,44.70268286434833
1.0,45.64498020811431,45.01678197893699
1.5,45.481957998062256,45.13307598371831
2.0,45.49504095775339,45.205468978525325
2.5,45.58968144467283,45.2695043895499
3.0,44.3427701629516,45.13711378575015
3.5,44.420792142514,45.04757358034563
4.0,44.330343971013015,44.967881401530896
4.5,43.95757234585599,44.866850495963405
5.0,46.3300058375,44.999864617921276
5.5,45.77294201695639,45.06428773450754
6.0,44.88805114308186,45.05073107362864
6.5,45.49819530488042,45.082692804432334
7.0,45.59530105920643,45.116866688083945
7.5,44.97932826763811,45.10827053680608
8.0,44.884574384434565,45.09511193960776
8.5,44.50828023559495,45.062510178273705
9.0,45.911941004498594,45.107217063864496
9.5,45.05950528115164,45.10483147472885
10.0,44.03368107349315,45.053824312765244
10.5,45.96861091768623,45.09540552207984
11.0,46.65471573953146,45.163201618490774
11.5,44.778862705459325,45.147187497114466
12.0,44.250785838336256,45.111331430763336
12.5,46.66825336208789,45.17121304350659
13.0,46.01694646747329,45.2025365036535
13.5,46.04216432660346,45.232523211616005
14.0,45.8655925694341,45.2543531894718
14.5,45.83873176916828,45.27383247546168
15.0,45.262470051207856,45.27346594564705
15.5,44.33812339695887,45.244236491000535
16.0,46.68515636556891,45.28790072962382
16.5,44.65454816469152,45.269272713008164
17.0,46.65443020873386,45.308848641457466
17.5,44.815827161228434,45.29515360034
18.0,46.25938790554606,45.32121398696719
18.5,44.88953875819042,45.30985411252569
19.0,44.613573483216335,45.29200076305622
19.5,47.29930697640026,45.34218341838982
20.0,46.11218640281339,45.360963978985524
20.5,46.188734123788585,45.380672791957025
21.0,45.440387251094414,45.38206150030906
21.5,45.34204771603514,45.38115209612101
22.0,46.81803407779451,45.41308280682487
22.5,45.97389962573279,45.42527447680113
23.0,45.50962013030542,45.42706906517356
23.5,45.29316706931444,45.424279440259824
24.0,45.64235972521948,45.42873005832023
24.5,44.825760021231176,45.41667065757844
25.0,46.75079539616706,45.45319287214778
25.5,46.231715071886114,45.48821355236558
26.0,47.29013774358136,45.52111670307491
26.5,44.52653729112871,45.50200828893625
27.0,46.646402992698896,45.52503552963516
27.5,43.941745794726245,45.49207681663622
28.0,45.055509753764426,45.506331608452484
28.5,46.13261099956202,45.54056798559344
29.0,45.2216319579359,45.558393745331905
