time_s,motor_current_a,current_slope
0.0,3.4270701124271072,
0.5,2.962131357149736,
1.0,3.336125549514953,
1.5,3.3042030527370163,
2.0,3.225925218001118,
2.5,3.333755569801325,
3.0,3.3859672671994394,
3.5,3.3894446396064666,
4.0,3.371585770359375,
4.5,3.4050453994745835,
5.0,3.128668030465405,
5.5,3.2245180124347854,
6.0,3.2135388552956208,
6.5,3.298272238037056,
7.0,3.1355444252352886,
7.5,3.248387056458153,
8.0,3.49708129792652,
8.5,3.2087998372008117,
9.0,3.4289566649411527,
9.5,3.319570285902393,
10.0,3.334866876854209,
10.5,3.1256617704358978,
11.0,3.5290506683303366,
11.5,3.2513753853370666,
12.0,3.460730754404795,
12.5,3.569890974163633,
13.0,3.2844309350661045,
13.5,3.3691553095099223,
14.0,3.38458172547258,
14.5,3.1660939871865845,
15.0,3.469730753845058,
15.5,3.302028714608789,
16.0,3.377336494981254,
16.5,3.0607711906496924,
17.0,3.1868748394789304,
17.5,3.434169768614668,
18.0,3.4733922371558714,
18.5,3.0668882142490177,
19.0,3.390080280095203,
19.5,3.32028301914083,
20.0,3.172250178126159,
20.5,3.3043277507162534,
21.0,3.367102809669531,
21.5,3.32329542825957,
22.0,3.216691417118464,
22.5,3.71296851746527,
23.0,3.485468023108039,
23.5,3.027412847854235,
24.0,3.460080179663711,
24.5,3.2898889124698125,
25.0,3.560698171044682,
25.5,3.283454315239056,
26.0,3.433733214624412,
26.5,3.370790012929309,
27.0,3.3724994714053844,
27.5,3.1349369821216606,
28.0,3.322666663188252,
28.5,3.4963168625819936,
29.0,3.100714749329608,
29.5,3.196761720793026,
30.0,3.319701333321289,
30.5,3.3096198273995614,
31.0,3.2204550934749587,
31.5,3.357765946868503,
32.0,3.194936951965814,
32.5,3.372678908685103,
33.0,3.384280059625763,
33.5,3.2867030841399094,
34.0,3.293707811560349,
34.5,3.2603029075103627,
35.0,3.321547294693454,
35.5,3.4289155002409517,
36.0,3.5389448192491724,
36.5,3.553572709158087,
37.0,3.532187416695461,
37.5,3.2586858165056385,
38.0,3.361872776719049,
38.5,3.4237663904932942,
39.0,3.474047749215844,
39.5,3.2443188607258944,
40.0,3.4216827022092957,
40.5,3.374237095819087,
41.0,3.5230201532300054,
41.5,3.4862179676315006,
42.0,3.4968911844344834,
42.5,3.261302270473544,
43.0,3.415154377991557,
43.5,3.4363085295466487,
44.0,3.53466638184168,
44.5,3.642503645749412,
45.0,3.689173369867317,
45.5,3.1462698638191826,
46.0,3.2430566574988373,
46.5,3.502338890871272,
47.0,3.339041733997343,
47.5,3.598518756806552,
48.0,3.3796692663774643,
48.5,3.237608758969625,
49.0,3.4402034751877903,
49.5,3.674156681468975,0.0016008281751842767
50.0,3.458798314025183,0.001712001069661536
50.5,3.254254152259554,0.0014195007406104165
51.0,3.4543694813833112,0.0014690381278624196
51.5,3.704746421463385,0.001646548254566069
52.0,3.5964462260432626,0.0017074735184292482
52.5,3.279035539926759,0.001640743010256423
53.0,3.602010411916924,0.0017981789216694763
53.5,3.565302308655375,0.0019333227604799556
54.0,3.4698155738231886,0.001998807746122474
54.5,3.470803617303188,0.002083979375858771
55.0,3.67312621242023,0.0021210520329638196
55.5,3.5670064898740423,0.0021466400172991482
56.0,3.3475359110343463,0.002031085132561159
56.5,3.4074511206095157,0.002000868881446644
57.0,3.3984787139860893,0.0018653892933153929
57.5,3.562339864330417,0.0018924869092650978
58.0,3.4934740504853607,0.002025630112984981
58.5,3.3612146719714047,0.001905530643369775
59.0,3.6342222398305735,0.002079213106849622
59.5,3.3624227479081514,0.002022672317206067
60.0,3.512125521585109,0.0020638202485714335
60.5,3.595837323614772,0.00202577967326554
61.0,3.5065924053688824,0.0021735577638740174
61.5,3.577537986352053,0.0021954632199846853
62.0,3.690493285475862,0.002407438533203471
62.5,3.53335811920448,0.0025894665057239735
63.0,3.307619789411879,0.0024648248539516585
63.5,3.713902815136396,0.0026326092667269714
64.0,3.4642036171799107,0.002657269481502177
64.5,3.4339852245695184,0.0025306058065760204
65.0,3.6483837819540814,0.002712114877757376
65.5,3.4805110638798102,0.0026901159314863853
66.0,3.6673333814450046,0.0028225996168267167
66.5,3.452828077569724,0.002632316337906232
67.0,3.5295486721994607,0.002559330950532425
67.5,3.574197383918735,0.002658632767703966
68.0,3.468065600184576,0.0027169766941006327
68.5,3.843028422978744,0.002751768663803477
69.0,3.696255337990321,0.002885928067164583
69.5,3.5839499302775093,0.0029073955483189732
70.0,3.64112763433111,0.002869948789668688
70.5,3.684896891776416,0.0029329234916021167
71.0,3.313357044830324,0.0028086596566288327
71.5,3.4842962890218843,0.0027600389730641313
72.0,3.530611727186613,0.0026723917160312535
72.5,3.5405383726699773,0.0028876480558645383
73.0,3.883338520958893,0.0031707383293318697
73.5,3.686060479811868,0.0030542496062801847
74.0,3.5924306909394064,0.003136457289771984
74.5,3.4912146663714223,0.00305380205432368
75.0,3.593665524120873,0.0031937193872849305
75.5,3.581075843523533,0.0031577354749917266
76.0,3.744538421488023,0.003306364349976244
76.5,3.5845646719567528,0.003318081883895528
77.0,3.523460565488007,0.003291970431601909
77.5,3.787636965489241,0.0032770064740235685
78.0,3.7972686922754537,0.003373706715502096
78.5,3.7632217824432472,0.0035497278211102544
79.0,3.5962791048567624,0.003383613022972362
79.5,3.6726556352939546,0.0033151333398662
80.0,3.70899874630434,0.0033370411816708275
80.5,3.569890438514012,0.0032655283850397533
81.0,3.7406897439953184,0.003238317729987083
81.5,3.59876121580917,0.003203768356670254
82.0,3.750686523695668,0.0031578951697183166
82.5,3.42935562432403,0.0030221850757600594
83.0,3.816134530301164,0.00312259544088048
83.5,3.634522882615089,0.003050797365638821
84.0,3.552320976681601,0.0029302375093296614
84.5,3.305302703896189,0.0026395850598909
85.0,3.540599132124257,0.0025252904256774346
85.5,3.428589828616029,0.002406898365950152
86.0,3.561195523692576,0.0024339703108772906
86.5,3.6809584812371257,0.0025407869198837783
87.0,3.848963026833135,0.002732918643988506
87.5,3.4884706571238078,0.0025413362520376385
88.0,3.961417349584967,0.0026904921490394636
88.5,3.854004394966102,0.002806154396705561
89.0,3.441584449006624,0.0027021248746269236
89.5,3.535247313609082,0.0025148966274272586
90.0,3.5026321317464992,0.0024122947713446728
90.5,3.7451202390564142,0.002424018852971043
91.0,3.721088657129544,0.002507187254437002
91.5,3.5118756192369327,0.002441389268236485
92.0,3.795950863476381,0.0025505095465040064
92.5,3.807174037971016,0.002519926822112219
93.0,3.580378538060843,0.0024413066829782433
93.5,3.769744854129027,0.0024860191947754665
94.0,3.915895292183096,0.0026731629324951646
94.5,3.671358238183877,0.0027758178462609115
95.0,3.829880543004209,0.0030005828178019983
95.5,3.553949938888776,0.0027307075357303075
96.0,3.5624898707847543,0.0025196714931978352
96.5,3.6124502193151633,0.002491622031214745
97.0,3.736278782321579,0.0024368446498585854
97.5,3.842155534322644,0.00259745582928963
98.0,3.752216626141073,0.002569077965826323
98.5,3.7331187945918094,0.002438786563262503
99.0,3.749793215193214,0.0024352387184924796
99.5,3.727326741420928,0.0025564188272233592
100.0,3.5797796416194085,0.0024587888662748556
100.5,3.9602975885732654,0.002461791091074383
101.0,3.743931299390652,0.002449067535734638
101.5,3.91287952542187,0.0026849777739092456
102.0,3.457316101605149,0.002582121946058013
102.5,3.8502164147302502,0.0025219718604840113
103.0,3.786207351615819,0.00261268407957888
103.5,3.772210862721477,0.002670623633151067
104.0,3.511682488838569,0.0025134399563566515
104.5,3.4190311950977383,0.0023013122680477565
105.0,3.669779476102668,0.0023613850404092386
105.5,3.6177453784841735,0.002326271649141804
106.0,3.966122633191389,0.002364493643268824
106.5,3.7698987184936894,0.0023150354403823543
107.0,3.644850301007132,0.0021815034205387887
107.5,3.8232141255273295,0.0022502831416986893
108.0,3.5444979872953546,0.002108621258263896
108.5,3.752649407261471,0.002009844136143939
109.0,3.632726390268559,0.002000587063234305
109.5,3.6356268372215808,0.001828344015306987
110.0,3.502318383563059,0.001664358003386582
110.5,3.751240373755284,0.0016990985639838672
111.0,3.5752241680263643,0.001573322189625987
111.5,3.775695653945497,0.0016088114453909966
112.0,3.5687463406182403,0.0015874401422416114
112.5,3.80029740837943,0.0016098516041967283
113.0,3.6175432239292022,0.0013836815231096622
113.5,3.859301628305513,0.0015436429797507656
114.0,3.903741127566693,0.0015769263314228856
114.5,3.370481611891472,0.001269832697038761
115.0,3.5658689708834777,0.0012095114002568137
115.5,3.830414534611714,0.0012055951194108916
116.0,3.4878080246136745,0.0011071766041984247
