timestamp,lot_id,chamber_temp_c,chamber_pressure_pa,vibration_g,particle_count,risk_score
2026-01-01 09:03:40,LOT-C,76.42878369203801,20.485927936014946,0.1770047808626338,16,100
2026-01-01 09:03:41,LOT-C,77.13147522508703,20.17749807703889,0.2074621396422028,17,100
2026-01-01 09:03:42,LOT-C,76.83620925373441,21.44556905984244,0.2031539933867591,15,100
2026-01-01 09:03:43,LOT-C,77.28232157702072,20.335950364073906,0.228414106175374,24,100
2026-01-01 09:03:44,LOT-C,77.02752644034649,20.83804512038376,0.2263174326112174,24,100
2026-01-01 09:03:45,LOT-C,77.9551987399594,20.10310193089993,0.1827959087346645,18,70
2026-01-01 09:03:46,LOT-C,78.91616806462329,21.475470886006363,0.2081548761092031,17,100
2026-01-01 09:03:47,LOT-C,78.6311195097928,20.709909550405488,0.2150039028931618,15,100
2026-01-01 09:03:48,LOT-C,75.65672328373032,20.523555941486883,0.2196923664565508,22,60
2026-01-01 09:03:49,LOT-C,76.54655701482673,21.297455846959167,0.2055153533447732,18,100
2026-01-01 09:03:50,LOT-C,75.93451373392503,20.5109187699181,0.1896264620763115,13,60
2026-01-01 09:03:51,LOT-C,77.32043630430914,20.563832760701384,0.1966370551954549,12,100
2026-01-01 09:03:52,LOT-C,77.36347539171041,20.03343596064209,0.1907634917787686,10,70
2026-01-01 09:03:53,LOT-C,78.65654307730708,20.60524486106225,0.1550207686430839,15,100
2026-01-01 09:03:54,LOT-C,76.73709748490657,19.859480047948253,0.1913003111784981,13,70
