timestamp,chamber_temp_c,side
2026-01-01 09:01:37,71.20220253791881,-1
2026-01-01 09:01:57,72.01748171641876,-1
2026-01-01 09:02:27,71.88736729086689,-1
2026-01-01 09:03:46,78.91616806462329,1
2026-01-01 09:03:47,78.6311195097928,1
2026-01-01 09:03:48,75.65672328373032,1
2026-01-01 09:03:49,76.54655701482673,1
2026-01-01 09:03:50,75.93451373392503,1
2026-01-01 09:03:51,77.32043630430914,1
2026-01-01 09:03:52,77.36347539171041,1
2026-01-01 09:03:53,78.65654307730708,1
2026-01-01 09:03:54,76.73709748490657,1
2026-01-01 09:04:01,71.92458995659796,-1
2026-01-01 09:04:02,70.5938172869147,-1
2026-01-01 09:04:03,70.8263638036872,-1
2026-01-01 09:04:23,71.55573822494479,-1
2026-01-01 09:04:50,71.79841809743449,-1
2026-01-01 09:04:51,72.12205000968197,-1
