subgroup_id,min,max,subgroup_range,cl,ucl,lcl,out_of_control
0,70.43917184907693,72.75245177311297,2.3132799240360384,1.7361372112053624,3.6701940644881357,0.0,False
1,70.95825639451014,72.10227232253384,1.1440159280236912,1.7361372112053624,3.6701940644881357,0.0,False
2,72.05282455804897,72.90179296557443,0.8489684075254615,1.7361372112053624,3.6701940644881357,0.0,False
3,71.2328939193368,72.70276024104582,1.46986632170902,1.7361372112053624,3.6701940644881357,0.0,False
4,71.45525636447685,72.97803307093922,1.5227767064623663,1.7361372112053624,3.6701940644881357,0.0,False
5,71.71829315960942,72.42584734844267,0.7075541888332566,1.7361372112053624,3.6701940644881357,0.0,False
6,71.3489818174017,73.71331808069637,2.3643362632946747,1.7361372112053624,3.6701940644881357,0.0,False
7,71.32787481842998,72.90317783417672,1.5753030157467407,1.7361372112053624,3.6701940644881357,0.0,False
8,71.46759223416905,72.59460333696275,1.127011102793702,1.7361372112053624,3.6701940644881357,0.0,False
9,72.05406325559112,72.69714302235855,0.6430797667674284,1.7361372112053624,3.6701940644881357,0.0,False
10,70.83427534411547,72.50503058067083,1.6707552365553653,1.7361372112053624,3.6701940644881357,0.0,False
11,71.30733510744541,73.19595304898752,1.8886179415421083,1.7361372112053624,3.6701940644881357,0.0,False
12,70.65370418270736,72.56898126383429,1.9152770811269306,1.7361372112053624,3.6701940644881357,0.0,False
13,71.63011856586834,72.68638070500572,1.0562621391373739,1.7361372112053624,3.6701940644881357,0.0,False
14,70.97945094132966,72.39772859524301,1.41827765391335,1.7361372112053624,3.6701940644881357,0.0,False
15,71.65819788293078,72.55238828325422,0.8941904003234384,1.7361372112053624,3.6701940644881357,0.0,False
16,71.04332828352877,72.36542019004592,1.3220919065171586,1.7361372112053624,3.6701940644881357,0.0,False
17,71.62447812783782,72.38957798462846,0.7650998567906413,1.7361372112053624,3.6701940644881357,0.0,False
18,70.65013245283357,72.53230808717822,1.882175634344648,1.7361372112053624,3.6701940644881357,0.0,False
19,70.84231002206153,72.31981938137875,1.4775093593172244,1.7361372112053624,3.6701940644881357,0.0,False
20,71.2531058559921,73.03938263822886,1.7862767822367545,1.7361372112053624,3.6701940644881357,0.0,False
21,70.61814366144613,72.67224650996592,2.05410284851979,1.7361372112053624,3.6701940644881357,0.0,False
22,70.84315371648924,72.34753891483669,1.5043851983474497,1.7361372112053624,3.6701940644881357,0.0,False
23,71.57640583274896,73.28142311305673,1.7050172803077714,1.7361372112053624,3.6701940644881357,0.0,False
24,71.1812020059025,73.08735006019235,1.9061480542898437,1.7361372112053624,3.6701940644881357,0.0,False
25,71.04898955654171,73.17064231297564,2.1216527564339316,1.7361372112053624,3.6701940644881357,0.0,False
26,70.82335496439788,72.50812075745152,1.6847657930536428,1.7361372112053624,3.6701940644881357,0.0,False
27,71.18753673503397,74.33108997280587,3.143553237771897,1.7361372112053624,3.6701940644881357,0.0,False
28,70.29436297541496,72.33152754662079,2.0371645712058353,1.7361372112053624,3.6701940644881357,0.0,False
29,71.51032256075216,72.85278418463011,1.342461623877952,1.7361372112053624,3.6701940644881357,0.0,False
