timestamp,lot_id,chamber_pressure_pa
2026-01-01 09:03:40,LOT-C,20.485927936014946
2026-01-01 09:03:41,LOT-C,20.17749807703889
2026-01-01 09:03:42,LOT-C,21.44556905984244
2026-01-01 09:03:43,LOT-C,20.335950364073906
2026-01-01 09:03:44,LOT-C,20.83804512038376
2026-01-01 09:03:46,LOT-C,21.475470886006363
2026-01-01 09:03:47,LOT-C,20.709909550405488
2026-01-01 09:03:48,LOT-C,20.523555941486883
2026-01-01 09:03:49,LOT-C,21.297455846959167
2026-01-01 09:03:50,LOT-C,20.5109187699181
2026-01-01 09:03:51,LOT-C,20.563832760701384
2026-01-01 09:03:53,LOT-C,20.60524486106225
