timestamp,lot_id,recipe,chamber_id,chamber_temp_c,chamber_pressure_pa,rf_power_w,gas_flow_sccm,vibration_g,particle_count,etch_rate_nm_min,uniformity_percent,defect_type
2026-01-04 08:00:00,LOT-001,ETCH-B,CH-03,72.06295187763193,16.467090748077243,869.5638391380654,120.63636027306856,0.08667271650861438,2,505.1982177269245,96.80292312355267,etch_rate
2026-01-04 08:01:00,LOT-001,ETCH-A,CH-03,72.53699238492405,18.522399299059316,831.3464900397345,121.05442534505838,0.0605908155207886,1,544.9289815720231,96.59807919126095,normal
2026-01-04 08:02:00,LOT-001,ETCH-B,CH-01,70.61615277855357,18.149862097196333,838.6096207246724,124.39197272294692,0.09755554570244832,5,523.5583277750137,95.87901203402818,normal
2026-01-04 08:03:00,LOT-001,ETCH-A,CH-01,71.51277201177008,17.517154160573533,868.5618149653969,117.03396075556904,0.09015921312976405,4,508.7561633081689,91.8419704350759,normal
2026-01-04 08:04:00,LOT-001,ETCH-A,CH-01,72.4177003780158,17.974736629963427,872.6661128903683,114.83588591096685,0.07613771868424707,4,539.4116905443796,97.40999511998115,normal
2026-01-04 08:05:00,LOT-001,ETCH-B,CH-01,72.55352776767724,17.59075189863462,837.836197817953,117.44984690771912,0.10410250300206367,1,512.5882842800587,97.97161289846117,normal
2026-01-04 08:06:00,LOT-001,ETCH-C,CH-03,72.8766869425171,18.81193122388385,833.0765788970429,120.7347035397313,0.0684825323329253,3,518.517914347493,95.94871787145472,normal
2026-01-04 08:07:00,LOT-001,ETCH-B,CH-01,71.2328906674485,17.396373166151513,887.2795489406569,121.97090475055774,0.08450344319487865,4,550.9889916321999,93.68125135793358,normal
2026-01-04 08:08:00,LOT-001,ETCH-A,CH-01,71.9363823995841,18.33967327225837,822.8366038416757,115.97137183988933,0.0786426923648436,5,529.2872439689718,96.70923678966277,normal
2026-01-04 08:09:00,LOT-001,ETCH-A,CH-01,71.41651624684475,18.12985455460115,826.94774447281,114.75438673068624,0.08317154401715972,2,507.4385749373332,95.81195127076066,normal
2026-01-04 08:10:00,LOT-001,ETCH-A,CH-01,71.93606043868718,17.536458487474018,872.9886929019002,126.6873145652307,0.0682827338179339,8,500.2948060448788,96.24695651406448,normal
2026-01-04 08:11:00,LOT-001,ETCH-B,CH-02,71.97742172984564,17.15688667888393,818.1355293823091,120.60609964502025,0.08056883936800845,1,569.6272655254568,96.41769278261212,normal
2026-01-04 08:12:00,LOT-001,ETCH-B,CH-01,72.91097835867778,18.360530704087978,868.6036138598126,121.29239086644799,0.07439901526907569,3,521.6167175331053,96.29313532806934,normal
2026-01-04 08:13:00,LOT-001,ETCH-A,CH-01,71.70246808773642,18.33595289976187,850.4948853432868,119.71977625673122,0.08677978247653162,3,547.3592978183782,95.79669076238542,normal
