x_m,y_m
0.0,0.0
0.05,0.0
0.1,0.0
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.30000000000000004,0.0
0.35000000000000003,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
0.9,0.0
0.9500000000000001,0.0
1.0,0.0
1.05,0.0
1.1,0.0
1.1500000000000001,0.0
1.2000000000000002,0.0
1.25,0.0
1.3,0.0
1.35,0.0
1.4000000000000001,0.0
1.4500000000000002,0.0
1.5,0.0
1.55,0.0
1.6,0.0
1.6500000000000001,0.0
1.7000000000000002,0.0
1.75,0.0
1.8,0.0
1.85,0.0
1.9000000000000001,0.0
1.9500000000000002,0.0
2.0,0.0
2.0500000000000003,0.0
2.1,0.0
2.15,0.0
2.2,0.0
2.25,0.0
2.3000000000000003,0.0
2.35,0.0
2.4000000000000004,0.0
2.45,0.0
2.5,0.0
2.5500000000000003,0.0
2.6,0.0
2.6500000000000004,0.0
2.7,0.0
2.75,0.0
2.8000000000000003,0.0
2.85,0.0
2.9000000000000004,0.0
2.95,0.0
3.0,0.0
3.0500000000000003,0.0
3.1,0.0
3.1500000000000004,0.0
3.2,0.0
3.25,0.0
3.3000000000000003,0.0
3.35,0.0
3.4000000000000004,0.0
3.45,0.0
3.5,0.0
3.5500000000000003,0.0
3.6,0.0
3.6500000000000004,0.0
3.7,0.0
3.75,0.0
3.8000000000000003,0.0
3.85,0.0
3.9000000000000004,0.0
3.95,0.0
4.0,0.0
4.05,0.02249999999999992
4.1000000000000005,0.04500000000000024
4.15,0.06750000000000016
4.2,0.09000000000000008
4.25,0.1125
4.3,0.13499999999999993
4.3500000000000005,0.15750000000000025
4.4,0.18000000000000016
4.45,0.2025000000000001
4.5,0.225
4.55,0.24749999999999991
4.6000000000000005,0.27000000000000024
4.65,0.29250000000000015
4.7,0.3150000000000001
4.75,0.3375
4.800000000000001,0.3600000000000003
4.8500000000000005,0.38250000000000023
4.9,0.4050000000000002
4.95,0.4275000000000001
5.0,0.45
5.050000000000001,0.4725000000000003
5.1000000000000005,0.4950000000000003
5.15,0.5175000000000002
5.2,0.5400000000000001
5.25,0.5625
5.300000000000001,0.5850000000000003
5.3500000000000005,0.6075000000000003
5.4,0.6300000000000002
5.45,0.6525000000000001
5.5,0.675
5.550000000000001,0.6975000000000003
5.6000000000000005,0.7200000000000003
5.65,0.7425000000000002
5.7,0.7650000000000001
5.75,0.7875
5.800000000000001,0.8100000000000004
5.8500000000000005,0.8325000000000002
5.9,0.8550000000000002
5.95,0.8775000000000001
6.0,0.9
6.050000000000001,0.9225000000000003
6.1000000000000005,0.9450000000000003
6.15,0.9675000000000001
6.2,0.9900000000000001
6.25,1.0125
6.300000000000001,1.0350000000000004
6.3500000000000005,1.0575000000000003
6.4,1.0800000000000003
6.45,1.1025
6.5,1.125
6.550000000000001,1.1475000000000004
6.6000000000000005,1.1700000000000004
6.65,1.1925000000000001
6.7,1.215
6.75,1.2375
6.800000000000001,1.2600000000000005
6.8500000000000005,1.2825000000000002
6.9,1.3050000000000002
6.95,1.3275000000000001
7.0,1.35
7.050000000000001,1.3725000000000003
7.1000000000000005,1.3950000000000002
7.15,1.4175000000000002
7.2,1.4400000000000002
7.25,1.4625000000000001
7.300000000000001,1.4850000000000003
7.3500000000000005,1.5075000000000003
7.4,1.5300000000000002
7.45,1.5525000000000002
7.5,1.575
7.550000000000001,1.5975000000000004
7.6000000000000005,1.6200000000000003
7.65,1.6425000000000003
7.7,1.665
7.75,1.6875
7.800000000000001,1.7100000000000004
7.8500000000000005,1.7325000000000004
7.9,1.7550000000000001
7.95,1.7775
8.0,1.8
8.05,1.8
8.1,1.8
8.15,1.8
8.200000000000001,1.8
8.25,1.8
8.3,1.8
8.35,1.8
8.4,1.8
8.450000000000001,1.8
8.5,1.8
8.55,1.8
8.6,1.8
8.65,1.8
8.700000000000001,1.8
8.75,1.8
8.8,1.8
8.85,1.8
8.9,1.8
8.950000000000001,1.8
9.0,1.8
9.05,1.8
9.1,1.8
9.15,1.8
9.200000000000001,1.8
9.25,1.8
9.3,1.8
9.35,1.8
9.4,1.8
9.450000000000001,1.8
9.5,1.8
9.55,1.8
9.600000000000001,1.8
9.65,1.8
9.700000000000001,1.8
9.75,1.8
9.8,1.8
9.850000000000001,1.8
9.9,1.8
9.950000000000001,1.8
10.0,1.8
10.05,1.8
10.100000000000001,1.8
10.15,1.8
10.200000000000001,1.8
10.25,1.8
10.3,1.8
10.350000000000001,1.8
10.4,1.8
10.450000000000001,1.8
10.5,1.8
10.55,1.8
10.600000000000001,1.8
10.65,1.8
10.700000000000001,1.8
10.75,1.8
10.8,1.8
10.850000000000001,1.8
10.9,1.8
10.950000000000001,1.8
11.0,1.8
11.05,1.8
11.100000000000001,1.8
11.15,1.8
11.200000000000001,1.8
11.25,1.8
11.3,1.8
11.350000000000001,1.8
11.4,1.8
11.450000000000001,1.8
11.5,1.8
11.55,1.8
11.600000000000001,1.8
11.65,1.8
11.700000000000001,1.8
11.75,1.8
11.8,1.8
11.850000000000001,1.8
11.9,1.8
11.950000000000001,1.8
12.0,1.8
