timestamp,lot_id,chamber_temp_c,chamber_pressure_pa,rf_power_w,gas_flow_sccm,vibration_g,particle_count,process_state,true_anomaly,iforest_anomaly_score
2026-01-02 08:04:06,LOT-I,74.25840202120494,18.47787112085337,841.4057091339064,122.59085585267891,0.1438072594161805,18,process,1,0.6670544849529796
2026-01-02 08:00:48,LOT-G,77.40770178912322,19.255764154831443,864.2373548635312,119.51573387860836,0.0390658570035396,1,process,1,0.6622673057682641
2026-01-02 08:05:19,LOT-J,76.86822455935966,19.240095225342767,824.0858951012049,121.76835903938122,0.0868523574774058,1,stabilize,1,0.6572117420511743
2026-01-02 08:04:19,LOT-I,73.50349129945435,19.40996666216073,864.1813500729111,120.9649677845548,0.1406168995986712,12,process,1,0.6456842545056141
2026-01-02 08:04:18,LOT-I,74.74781021969075,19.15269130293351,852.3605617773155,122.48317226918688,0.1375101901640438,13,process,1,0.635414469971577
2026-01-02 08:04:28,LOT-I,74.38920785253762,19.375232149844734,867.3941495005877,117.530358003435,0.1422591408732113,6,process,1,0.6349397142562313
2026-01-02 08:04:15,LOT-I,73.66027672914727,18.290858042550248,838.6357049605964,121.56601626348235,0.1380202228316915,16,process,1,0.6323453093628597
2026-01-02 08:04:09,LOT-I,74.49800429777761,18.832078925171576,839.0274707285224,119.60343722253631,0.1099652792461179,18,process,1,0.6202850540932585
2026-01-02 08:04:26,LOT-I,73.15190410552086,19.182040933864258,851.2459855613101,120.62108734336448,0.1198898157519035,14,process,1,0.6032750623866975
2026-01-02 08:03:03,LOT-H,76.39987022023276,19.386331936437145,864.9193501147577,118.7730363855447,0.07236046202524,3,purge,1,0.5984284329064996
2026-01-02 08:06:26,LOT-J,71.67064692929883,17.8380752339781,939.3550700223124,121.84098476895592,0.0576932534060937,6,purge,1,0.5910261427304301
2026-01-02 08:04:08,LOT-I,74.2317866781087,18.918215089871445,859.5093938289704,118.03562792296051,0.1071092258033837,14,process,1,0.5900665213632506
2026-01-02 08:04:05,LOT-I,74.68512267473486,18.83856516946036,848.3553632329409,118.51672114988116,0.1504820819088572,8,process,1,0.5881215877303552
2026-01-02 08:04:10,LOT-I,74.81475980239848,19.227094671699582,842.6469965447873,120.46639691635625,0.132873484235616,8,process,1,0.5866777129298445
2026-01-02 08:04:21,LOT-I,73.32890451008272,18.996118165445598,854.6493945682502,117.09801161737788,0.1139463253531138,12,process,1,0.5860018007695571
2026-01-02 08:04:17,LOT-I,75.50467944981818,18.89237500115131,841.4894501706733,119.21005041855288,0.1371139187007654,8,process,1,0.5837186676793119
2026-01-02 08:04:29,LOT-I,74.31754155203218,19.026574345440697,836.2921940415331,117.8169840139205,0.1380921919454575,8,process,1,0.5819148057414892
2026-01-02 08:01:37,LOT-G,68.63785780243563,16.80554508482115,848.8461011146139,121.73163163474376,0.0684532152037072,5,purge,1,0.577935630877185
2026-01-02 08:06:31,LOT-J,70.80854632225596,17.97522054974784,937.7963506530187,119.20144290332304,0.0666774260872316,5,purge,1,0.5777446647345548
2026-01-02 08:04:23,LOT-I,74.6625882179867,18.94244677610831,847.5886780647195,117.30697217594778,0.1336396987403002,8,process,1,0.5736923932958743
