timestamp,lot_id,chamber_temp_c,chamber_pressure_pa,rf_power_w,gas_flow_sccm,vibration_g,particle_count,process_state,true_anomaly,iforest_anomaly
2026-01-02 08:00:00,LOT-G,71.56378263866316,17.827740140467967,848.0759412553928,118.73952866910786,0.0789277374857382,4,stabilize,0,0
2026-01-02 08:00:01,LOT-G,72.13231420594605,18.36403684232772,851.554681268894,117.61649687616767,0.0765598946739837,2,stabilize,0,0
2026-01-02 08:00:02,LOT-G,70.95702050772051,18.24524808654632,862.4577330430144,121.16153068174636,0.078534934887009,1,stabilize,0,0
2026-01-02 08:00:03,LOT-G,72.76767444055979,17.824530329128187,863.7210249089659,121.0092992179616,0.0794310032270224,1,stabilize,0,0
2026-01-02 08:00:04,LOT-G,72.35106210751051,18.126440789283407,856.4760787743601,120.72898427230189,0.0877125758418814,3,stabilize,0,0
2026-01-02 08:00:05,LOT-G,71.83937388312935,17.731709805023506,862.4860160318335,119.08032623297284,0.0764954988492162,4,stabilize,0,0
2026-01-02 08:00:06,LOT-G,71.8284278694954,18.02372508492632,867.2964178405465,121.820374198351,0.0730879551683609,2,stabilize,0,0
2026-01-02 08:00:07,LOT-G,72.16710945227835,17.70722840233191,853.7042034901979,125.33364396452464,0.0792119094381588,1,stabilize,0,0
2026-01-02 08:00:08,LOT-G,71.85278683378762,18.179591639392477,836.0169746004514,120.16016589430296,0.0820018531814555,5,stabilize,0,0
2026-01-02 08:00:09,LOT-G,71.87575012636023,18.74109274750284,860.0527938283577,120.74266640050088,0.0540295273718697,5,stabilize,0,0
2026-01-02 08:00:10,LOT-G,72.39603730100501,18.36771000337184,840.0508337962738,118.61515554870788,0.0886679429404437,3,stabilize,0,0
2026-01-02 08:00:11,LOT-G,72.28308786317557,18.182694855460703,868.6185431138018,118.62873500599272,0.095264048866887,2,stabilize,0,0
2026-01-02 08:00:12,LOT-G,71.9647296354012,17.774282121471636,867.250455175235,122.6723562485747,0.0752312428157908,4,stabilize,0,0
