sim_time,detected,center_x,center_y,area_ratio,confidence,lost_frames,state,safety_active,fps,detect_latency_ms,pipeline_latency_ms,drone_x,drone_y,drone_z,vx,vy,vz,yaw_rate
0.01,True,320.0,240.0,0.006555989583333333,1,0,TRACK,False,21.92208453232795,9.000200021546334,45.60029998538084,0.002730625000000001,0.0,1.5990190000000002,0.2730625000000001,-0.0,0.0,-0.0
0.02,True,319.25,239.625,0.006551106770833333,1,0,TRACK,False,24.3675998665868,1.6696999955456704,4.875199985690415,0.005461718750000001,1.40625e-05,1.5980497542500003,0.27310937500000004,0.00140625,0.0011754249999999188,0.002109375
0.03,True,318.2925,239.14625,0.006536458333333333,1,0,TRACK,False,75.30517417068789,1.4404000248759985,7.52949999878183,0.008194218074062504,4.613576366474776e-05,1.597093249445167,0.27325000000000005,0.0032015624999999657,0.0024495195166664985,0.004802343749999949
0.04,True,317.654725,239.0148625,0.0065348307291666664,1,0,TRACK,False,98.57752627476874,2.5714999937918037,7.119899993995205,0.01092687127818258,9.02985433239662e-05,1.5961457652985642,0.27326562500000007,0.004397390625000028,0.003351585339699762,0.006596085937500043
0.05,True,316.73290325,238.605826625,0.006512044270833333,1,0,TRACK,False,129.95958248146468,1.5138999733608216,4.528499994194135,0.01366170672861287,0.0001519260241787415,1.5952101218154988,0.27348437500000006,0.006125806406250014,0.0045356516934403675,0.00918870960937502
0.060000000000000005,True,316.1088155525,238.49510152624998,0.006551106770833333,1,0,TRACK,False,63.059256785171264,1.5925999905448407,9.359599993331358,0.01639278384895871,0.0002255055937682812,1.594283116866743,0.27310937500000004,0.00729597083906249,0.0053995051244239535,0.010943956258593736
0.07,True,315.194088383925,238.0928121294625,0.0065706380208333335,1,0,TRACK,False,106.83418268036252,2.1656000171788037,7.63470001402311,0.01912197213081746,0.00031653455348352056,1.5933677184721273,0.2729218750000001,0.009011084280140585,0.006560160538415527,0.01351662642021088
0.08,True,314.19987952106726,237.6098148099086,0.006544596354166667,1,0,TRACK,False,139.31069067595772,1.674500002991408,4.694500006735325,0.02185363929267245,0.00042657499958368615,1.5924646744867472,0.27317187500000006,0.010875225897998888,0.007795601461976739,0.016312838846998332
0.09,True,313.18533694366744,237.48028029522746,0.006525065104166667,1,0,TRACK,False,64.0348349769296,2.0289000240154564,9.512099990388379,0.024587151393405452,0.0005560849162355747,1.5915702041711115,0.27335937500000007,0.012777493230623554,0.008652968436407024,0.019166239845935334
0.09999999999999999,True,312.5418743438241,237.07447424293898,0.0065315755208333335,1,0,TRACK,False,118.15163565713947,1.6151000163517892,6.4184000075329095,0.02732000365197324,0.0006981831451425746,1.5906871167643788,0.27329687500000005,0.013983985605329857,0.009791259326716102,0.020975978407994787
0.10999999999999999,True,311.6276587463573,236.59206479043175,0.0065087890625,1,0,TRACK,False,105.01002861966823,1.6710999771021307,5.769199982751161,0.030054995782033432,0.0008579984131857828,1.5898161191553635,0.27351562500000004,0.015698139850580013,0.011000239098463965,0.02354720977587002
