lot_id,recipe,chamber_id,temp_mean_c,pressure_mean_pa,particle_mean,vibration_rms_g,maintenance_age_hours,yield_percent
LOT-B001,ETCH-B,CH-01,73.31554338132005,18.392764172554553,4.691690550047542,0.09031029785710062,382.859050723372,93.35545534618011
LOT-B001,ETCH-A,CH-01,71.69282857967843,18.173604598875098,3.652672909404438,0.10035704354555693,178.66955589896094,95.46952053395873
LOT-B001,ETCH-B,CH-01,71.67939923321791,17.5244539065292,4.706266731993826,0.062054438451560986,128.67599035270462,95.88147271030262
LOT-B001,ETCH-A,CH-01,71.6531744518227,18.25382184257061,4.17512460300731,0.0797788425613242,427.74007010331474,95.2705778892287
LOT-B001,ETCH-A,CH-03,73.58569288769296,18.216913344574458,2.156736755661899,0.10731780673902269,301.65655190825737,93.91257350592339
LOT-B001,ETCH-B,CH-03,71.88579160109961,17.588155242400212,4.243226939503735,0.0867446090260098,68.70014808673075,93.57758544764046
LOT-B002,ETCH-C,CH-01,71.93848206550555,17.968383744488413,3.624079948401401,0.0906065205324869,236.2849747256398,95.26719819701009
LOT-B002,ETCH-B,CH-03,71.84662338145881,17.863767705777978,1.5369294808949747,0.09477605486471997,374.5067252728385,94.47387365014445
LOT-B002,ETCH-A,CH-02,71.98269033200441,17.75384883425707,4.445605362074714,0.08815307123688501,270.63999480403703,94.81733768835647
LOT-B002,ETCH-A,CH-03,71.92968923957298,17.684948899040567,4.359351744333099,0.07186666622344416,416.9834210515862,94.78351561689426
LOT-B002,ETCH-A,CH-01,71.03160626180335,17.840334965734293,5.816152534896275,0.08303726302718689,353.85109053283963,94.30548378497922
LOT-B002,ETCH-B,CH-01,71.53998263715451,18.257628257040068,2.4271751607138707,0.07396154066076836,207.40786971287488,96.10720478625635
LOT-B003,ETCH-B,CH-03,71.65160140151822,17.70311847867252,4.606491941318919,0.10005406224009522,452.3750553971576,93.71664604428797
LOT-B003,ETCH-A,CH-03,71.75128460318776,17.948556043327983,2.905147880587733,0.06920867063168751,447.92472406549314,94.69697888007727
LOT-B003,ETCH-A,CH-03,70.97946752956462,18.150287185180684,3.612295159352662,0.06709131320254652,89.07252440059071,93.59938004245907
LOT-B003,ETCH-A,CH-02,73.44496155441921,17.36465796457976,3.4603821731605806,0.061789473218317736,149.05913237683993,92.3951526643448
LOT-B003,ETCH-B,CH-02,71.56205270322934,17.956020545511155,4.028857826737498,0.07713873495592212,3.626849203172522,95.10272273133376
LOT-B003,ETCH-B,CH-02,73.2467302940894,17.442127061974887,6.291260512453125,0.08470488778360208,136.76493869521195,93.3064886882025
LOT-B004,ETCH-A,CH-02,73.18996836320675,17.95818233210606,4.932167182208869,0.08133588522698232,301.2332598783973,93.7538583117873
LOT-B004,ETCH-A,CH-03,71.1318542504596,17.93277897482346,5.019420687739345,0.06894263707519374,343.81345457221255,94.82779231905054
LOT-B004,ETCH-B,CH-02,71.18776158846795,18.330662816851675,4.592892427411008,0.08875151415192355,374.9396575851384,93.12244586084334
LOT-B004,ETCH-A,CH-02,71.62792537146525,17.332035790895937,5.534641627858904,0.09692424752370539,402.57800218886666,93.43871416007829
LOT-B004,ETCH-A,CH-01,72.83192684123175,17.793090372283217,5.033169681692574,0.06235211198622301,477.67259981557805,93.56919831290126
LOT-B004,ETCH-B,CH-01,70.9787494688833,17.995143552537623,2.829177052001956,0.06656181070704444,421.26023459058416,94.20832941326486
LOT-B005,ETCH-B,CH-01,71.76496072476824,18.434404472523646,6.161187170885354,0.06958930210188716,388.7831098964974,93.5885800537589
LOT-B005,ETCH-C,CH-03,71.00215354082822,17.873216648469707,2.6767661487271917,0.06439055782303053,202.0741002018977,91.88049324719347
LOT-B005,ETCH-B,CH-03,71.72456709597176,18.245084749312834,4.171306631024594,0.06539181104570235,211.99713414866673,93.70155443341355
LOT-B005,ETCH-B,CH-02,71.84490064935503,18.551758363386096,5.8654655807925105,0.07049275201785318,261.6564688381412,93.7152803237578
LOT-B005,ETCH-C,CH-02,71.25774997162313,18.333537093674288,5.4904453529666,0.0723623577482427,92.9454004589324,94.09778089306727
LOT-B005,ETCH-A,CH-02,71.0080365680508,17.942239904904135,1.6440401056629237,0.07261281325209659,479.6513174860872,95.25256167659904
LOT-B006,ETCH-A,CH-01,70.87263004575999,18.08185676332394,4.25065490220033,0.06920570795088868,60.073334581939086,96.21651906935493
LOT-B006,ETCH-C,CH-02,72.36891115752236,17.76888440204543,7.09090933433264,0.05419956710370903,282.623737806242,93.37013426741478
LOT-B006,ETCH-C,CH-02,71.88150079936273,17.936309355036865,1.6218215857495988,0.08777521955330007,199.4729342855735,95.5461096906146
LOT-B006,ETCH-A,CH-02,70.94454518423962,18.19713492747306,5.445469665386618,0.060401881490741036,3.3389885218882975,93.54944261325441
LOT-B006,ETCH-B,CH-03,72.39899082453034,17.988473681950232,5.680602011002817,0.09442204699848647,250.93807507624382,93.49469470539529
LOT-B006,ETCH-B,CH-02,71.82938847676976,18.295868538512156,1.101754095914874,0.09369431433293376,35.48053992831252,96.55172250710345
LOT-B007,ETCH-A,CH-01,71.56220364032428,17.648446767057994,3.1848678104631825,0.07532675327793653,460.50918453290154,94.00144886093126
LOT-B007,ETCH-C,CH-03,71.9644516282856,18.34826987213436,3.0074916963178113,0.06994331847018616,375.8680804658847,93.0684477437156
LOT-B007,ETCH-A,CH-01,72.01934623012451,17.864548810270275,1.9712408776885102,0.10533554761626888,443.47517961373563,96.26329826759523
LOT-B007,ETCH-C,CH-01,72.04495190134075,18.223852134925693,4.030669199021511,0.07817332362692471,434.20833849519016,94.43021576213755
LOT-B007,ETCH-A,CH-01,71.86370553720697,18.30910536050573,2.734475010948417,0.09936496703085038,368.2251805261493,96.26721961381489
LOT-B007,ETCH-B,CH-03,73.25444816542233,17.989977797487768,2.529742048855981,0.0951447266912411,435.9769265588968,92.58940683496246
LOT-B008,ETCH-B,CH-02,72.16138767088964,18.013198831649262,2.864115815621067,0.07092786112058257,402.99146298947767,94.95340949268626
LOT-B008,ETCH-B,CH-02,72.7284976103057,17.786343770015666,3.418622907177838,0.0764431338326199,173.3884243940699,94.13360238734764
LOT-B008,ETCH-B,CH-03,71.8430721321933,18.097116227233435,4.781680170427291,0.06135170042847289,293.6293610639525,93.87642308381051
