equipment_id,cycle,vibration_rms_g,temperature_c,motor_current_a,particle_count,rul_cycles
EQ-BAYES-01,0,0.05906563120179306,64.95474248893393,4.778510359041103,2.255497430876356,112
EQ-BAYES-01,10,0.05723447672764536,65.0200777919076,4.772468020275422,4.273708566560356,102
EQ-BAYES-01,20,0.05046145852466226,65.74890414793464,4.62299892950763,3.7178017980219153,92
EQ-BAYES-01,30,0.06307587978406899,67.57776870860407,4.761873281820874,3.885356178249089,82
EQ-BAYES-01,40,0.06450550727475934,66.10977309597024,4.805136000730977,3.9531237079456742,72
EQ-BAYES-01,50,0.08300048121204578,66.78012551716951,5.08048552940994,5.379716069439331,62
EQ-BAYES-01,60,0.07820434079709222,68.07657777818564,5.170134419166827,8.945573681852183,52
EQ-BAYES-01,70,0.08945698981544907,68.24743802434433,5.169919384958659,7.825099818872783,42
EQ-BAYES-01,80,0.09945691682219204,70.12809097019122,5.443466003456901,12.039673158211983,32
EQ-BAYES-01,90,0.11392024608988163,71.09812116106511,5.450392001679468,13.41615357667375,22
EQ-BAYES-01,100,0.1177869591587361,71.74046670315904,5.523410268001926,15.488678834887368,12
EQ-BAYES-01,110,0.1466001659003519,73.25653995768346,5.698093016537776,18.174260248012455,2
EQ-BAYES-02,0,0.057031300367530735,65.87304635516352,4.734934875929201,3.4899695743881627,132
EQ-BAYES-02,10,0.05774383284316452,65.6453988762803,4.767696710887315,2.5403868349909215,122
EQ-BAYES-02,20,0.05953903831304748,64.95255600845213,4.781720351439198,2.1066647513254964,112
EQ-BAYES-02,30,0.054752039261888756,66.39923187559593,4.90453281671048,2.8996501822247107,102
EQ-BAYES-02,40,0.06755552527819048,66.36391216316194,5.10264599504259,3.767264155072097,92
EQ-BAYES-02,50,0.06468973536592813,66.45860000413224,5.058418851319594,4.820561664506281,82
EQ-BAYES-02,60,0.07183873549422559,67.03650791642342,4.960049016491696,6.5832537565622005,72
EQ-BAYES-02,70,0.07784909413513083,67.09141610237782,4.980059055216621,9.64356749488451,62
EQ-BAYES-02,80,0.08745547020543908,68.46662899445785,5.051133843954126,10.162150892214493,52
EQ-BAYES-02,90,0.09773542219942426,68.64360711844637,5.406300699665544,10.815869114949038,42
EQ-BAYES-02,100,0.10926176646929973,70.2981487680406,5.481708620011359,12.263401901396694,32
EQ-BAYES-02,110,0.11811430062922464,70.72357673879128,5.711804457364915,16.45881442950378,22
EQ-BAYES-03,0,0.05786145731600156,65.75977496139947,4.6535166937248595,1.7955034791309454,144
EQ-BAYES-03,10,0.0581103905892545,66.6536478279322,4.601150322453905,4.429278267615146,134
EQ-BAYES-03,20,0.05882458755920529,66.38057975732187,4.841882299470725,2.3740406425843967,124
EQ-BAYES-03,30,0.0588147079117587,66.27071127977409,4.850863070923757,4.689803896484415,114
EQ-BAYES-03,40,0.053219012224732284,67.02495713920837,4.724965109163033,6.092017017538056,104
EQ-BAYES-03,50,0.06049592968286671,66.53010977538516,4.921460822953895,3.509751061044983,94
EQ-BAYES-03,60,0.06957138212694534,67.19419006920728,5.2525442507297635,7.214553589189011,84
EQ-BAYES-03,70,0.07371183313976774,66.85518420318395,4.991503074165344,6.545992269313143,74
EQ-BAYES-03,80,0.08518810653487364,67.6084936854307,5.1829661595758525,6.869634061397274,64
EQ-BAYES-03,90,0.08772741573410363,68.58215244884018,5.237359520699328,10.226207606457939,54
EQ-BAYES-03,100,0.09552632564210292,70.44517693233767,5.321187646934312,11.546094759857063,44
EQ-BAYES-03,110,0.10478379811370427,70.27388782010304,5.463454629143698,14.100838559472006,34
EQ-BAYES-04,0,0.061363026271897506,65.7853083083921,4.71798977436159,3.063162608747164,129
EQ-BAYES-04,10,0.05369744257101626,65.25881427896346,4.9429781562769115,2.8906171360998196,119
EQ-BAYES-04,20,0.055995504752710236,65.60552625689782,4.823515541125993,1.8530140706692648,109
EQ-BAYES-04,30,0.05514615067180448,65.68039265180151,4.743855747853436,6.477805055058596,99
EQ-BAYES-04,40,0.06428382551349444,65.79166581162606,4.861344085982014,4.677210333871936,89
EQ-BAYES-04,50,0.07363589842585377,67.2170160526392,4.941829831568021,3.892735915414322,79
EQ-BAYES-04,60,0.07414516042097351,67.67077200907026,5.08791495338265,6.571135065899418,69
EQ-BAYES-04,70,0.08366733966137814,68.48014611445926,5.158211588805005,7.749778793258898,59
EQ-BAYES-04,80,0.09922093630187512,68.09564147006733,5.4573944641,8.97988656447527,49
EQ-BAYES-04,90,0.09349161367159581,69.57598049001653,5.268993847872142,9.880990554883168,39
EQ-BAYES-04,100,0.11341485084829027,70.23967944609413,5.596312623254222,11.435491396836028,29
EQ-BAYES-04,110,0.12448158276759501,70.88869826842323,5.693476377095593,15.788897114054175,19
EQ-BAYES-05,0,0.06272483763950149,65.58201846005628,4.7163311513691815,2.632460359552746,148
EQ-BAYES-05,10,0.050611387603540336,65.65394125097038,4.853585474811364,2.6688860492738202,138
EQ-BAYES-05,20,0.062283944080037304,65.80266431404618,4.809703635547486,2.167862747360285,128
EQ-BAYES-05,30,0.0576823839639358,65.7079709423679,4.63843227642625,5.969259780123073,118
EQ-BAYES-05,40,0.06426592487870192,66.99179750961184,4.835391636621906,5.081737892906725,108
EQ-BAYES-05,50,0.06760327847316056,67.41653519272985,4.912965187922058,5.227282693098617,98
