sample_id,surface,surface_id,command_speed_mps,command_yaw_rps,duration_s,slip_ratio,true_distance_m,odom_distance_m,distance_error_m,true_yaw_change_rad,odom_yaw_change_rad,yaw_error_rad,imu_accel_std,wheel_speed_diff_mps,motor_current_a,risk_label
0,gravel,3,0.28303044336073957,0.060134716043788394,3.2640438509390415,0.11981359751200041,0.8131371279372966,0.9325053413315963,0.1193682133942997,0.18334783815719524,0.23549252448606017,0.05214468632886493,0.06438482872254173,0.08056031613179777,3.9776311279034897,0
1,gravel,3,0.2503628255684135,0.05231048237470359,3.8544837011497926,0.05359890362474934,0.9132954470744175,0.9753041613406322,0.06200871426621479,0.1956859737942104,0.18426735225083798,-0.01141862154337242,0.033416384333120316,0.02924289947810748,3.340063553645397,0
2,tile,2,0.17106233198299864,-0.5811012934651673,3.510586292201739,0.1469956680148917,0.5122539048221781,0.6035557869504422,0.09130188212826407,-1.8750765916041654,-2.0853899039660617,-0.21031331236189632,0.07700354965900039,0.11851958698820701,3.2494368631855233,1
3,wet,1,0.25684921696513036,-0.72287097724235,3.5748717370121503,0.07717816630890609,0.8473377820688884,0.9241951570677734,0.07685737499888501,-2.4744781563795004,-2.690548513922352,-0.21607035754285153,0.047988378698541355,0.05834130463651316,3.326272024371438,0
4,dry,0,0.18011756005797427,-0.5453800105575298,1.373962761344469,0.041015839769287854,0.23732443261228708,0.23951023447119632,0.0021858018589092365,-0.7324278645436837,-0.7561336521897857,-0.023705787646101983,0.03636008406599979,0.05520612287068158,2.8372640692574147,0
5,tile,2,0.14452310492818057,0.5096056221758696,1.972542329250361,0.11821620821650271,0.25137710867310575,0.27990583660775215,0.028528727934646392,0.9398604347755487,0.9344508509734402,-0.005409583802108542,0.0534517720919357,0.05197056365315688,2.766523174646083,0
6,wet,1,0.2102870417485907,0.6713939820824348,1.9370563237676564,0.07327532489259242,0.37749003116348406,0.4119857675023558,0.03449573633887176,1.2481148239429227,1.2824750414931734,0.03436021755025065,0.055796320608275274,0.066404997462416,3.1705936694710033,0
7,dry,0,0.17449025490876463,0.08725371534534654,4.702977871613514,0.0005483402253151776,0.8201738266045367,0.8147110204615015,-0.0054628061430352925,0.41022853551754335,0.4314665471237522,0.021238011606208862,0.03616323930704443,0.019867448180882097,2.8011751902088156,0
8,tile,2,0.3260766253582587,0.16082098527988742,1.2626210654377807,0.18010518619157845,0.33755989088699034,0.4074863388941781,0.06992644800718778,0.18294167608881048,0.17875718293211004,-0.004184493156700442,0.07945269405128395,0.1170885758559262,4.404031532355842,1
9,wet,1,0.14310265902226538,-0.7888521153356111,4.893730511262709,0.02780103156196407,0.6808366236973449,0.7083714356889821,0.02753481199163721,-3.8014015058537542,-4.070687478812788,-0.2692859729590338,0.029257201125655087,0.007134279753335356,2.7328381465098994,0
