time_s,distance_m,safe_distance_m,speed_limit_mps
0.0,32.9978179646593,16.057635228979393,7.988702700155028
0.1,32.15019338341274,15.99752482745865,7.932185413246101
0.2,32.03329096926535,16.412157341502667,8.116913063993982
0.3,31.9181589552364,16.290207274741743,8.102541560352506
0.4,31.796336867867367,16.34867219535712,8.11458440599913
0.5,30.909815813157724,16.315594976018218,8.138858979254039
0.6000000000000001,32.290511422727555,16.055861130962057,7.9618984105101935
0.7000000000000001,32.18693221925492,16.17889499562417,7.983674979124395
0.8,31.13632125825401,16.184369937312116,7.980177698226569
0.9,31.560324340585872,16.10834303169517,7.934328097542575
1.0,31.47534640439134,16.760197905141723,8.300254987907456
1.1,32.10019770554358,16.565294639340465,8.22675253041007
1.2000000000000002,32.28802163794547,16.220859814447792,8.104070789505712
1.3,32.66539763051083,16.586648197145234,8.205638604380301
1.4,32.1869816357923,16.704087341372407,8.230244484624796
1.5,32.42576520894963,16.557010792968796,8.147881935785131
1.6,31.324347169253176,16.2568827776402,8.14369510257466
1.7000000000000002,33.01183165958203,16.33120209748702,8.097269635751939
1.8,32.258054053786566,16.802276425869234,8.31782933998564
1.9,31.63003178501465,16.57651332355867,8.199966031260391
2.0,32.021062793391145,16.21836648954851,8.056085438591587
2.1,32.63970697126825,16.81708607916462,8.356308470587875
2.2,32.04557310954684,17.189865165620674,8.469197794682016
2.3000000000000003,32.08391783709352,16.628727693145965,8.197783014798572
2.4000000000000004,32.87823788384045,16.407670933593586,8.128523763743601
2.5,32.25442759506019,17.20115043567546,8.501084804916944
2.6,32.098719529810225,16.815371364015814,8.413317847197122
2.7,32.789015428270304,17.09198892891552,8.427017297137864
2.8000000000000003,32.67125538335579,17.18927667149176,8.410435530460745
2.9000000000000004,33.065424903515314,17.01242253294496,8.416297164884327
3.0,31.76768577313589,16.975607353890556,8.339734951485534
3.1,32.36807933117847,16.4007906869563,8.210945820289142
3.2,32.78241549418926,17.512004452373446,8.572848988547056
3.3000000000000003,32.29798618316753,16.584349496954527,8.278090871371571
3.4000000000000004,32.09618337358209,17.527601550140435,8.587890715491145
3.5,32.98548094058675,16.74007061395193,8.321901755624738
3.6,32.72178637153221,17.493947291339232,8.548220860107303
3.7,32.43104869380286,16.972167194850424,8.352511512902522
3.8,32.55122708199846,16.80231806468603,8.320867315784042
3.9,31.78350546733668,17.75195785632046,8.733460040979526
4.0,32.609048409223966,17.46816846308966,8.565106301825082
4.1000000000000005,32.08141674838515,17.43067778004033,8.586283991828722
4.2,32.53627121658131,17.249131269245936,8.483708217814863
4.3,32.59627697230239,17.155089898295635,8.478613810307698
4.4,32.15714234917027,17.608723537190308,8.709648094801091
4.5,32.939187675044394,17.43762884425371,8.592643607121454
4.6000000000000005,31.923961775089257,17.213866867382038,8.532596256083803
4.7,32.925912428214666,17.182915933986457,8.509701307447719
4.800000000000001,32.04284622596002,17.410420410814492,8.571631198532211
4.9,32.22793706974139,17.173607908891412,8.458669763647904
5.0,33.00126055216423,17.96306206293134,8.756930665343551
5.1000000000000005,32.92096935409179,17.607268424940557,8.688550834539333
5.2,33.21634824923283,18.187355495975694,8.856772624088808
5.300000000000001,32.68700282702367,16.92368966647357,8.451666665499289
5.4,33.03789503934871,17.93956860598319,8.7790559009916
5.5,33.49135072670203,16.855201559109396,8.382741524013381
5.6000000000000005,32.6307980171247,17.418354541293304,8.559164695535351
5.7,33.235717234914375,17.79580968754871,8.730062388530518
5.800000000000001,32.900267447175366,17.609483886375326,8.602721521423044
5.9,32.52664421541403,18.130233264901197,8.876769028605498
6.0,32.07469033604276,17.87133081587973,8.765893803944525
