time_s,true_speed_mps,true_accel_mps2,true_yaw_rate_rps,true_yaw_rad,imu_ax_mps2,imu_gyroz_rps,encoder_ticks,encoder_speed_mps,slip_flag
0.0,0.25,0.02764695444872345,0.0,0.0,0.06935190866060661,-0.020764282835270344,49,-0.0030599975669434324,0
0.01,0.25027646954448723,0.02764664132643424,0.0006978249327638398,6.978249327638398e-06,0.04922277725906174,-0.023620383955032513,99,0.25328494369919796,0
0.02,0.2505529328265287,0.027645701970138714,0.001395642940396516,2.0934678731603557e-05,0.09945626885405273,0.0005702557606098845,148,0.24592089391987082,0
0.03,0.25082938358389,0.027644136411555942,0.002093447097891509,4.186914971051865e-05,0.09161883237224568,-0.015949393122859746,198,0.25719412658308644,0
0.04,0.2511058155547598,0.027641944703574173,0.0027912304804915836,6.978145451543449e-05,0.09148538216973837,-0.011992146579524047,247,0.24466664760170723,0
0.05,0.2513822224779615,0.027639126920236956,0.0034889861638134245,0.00010467131615356873,0.09491946271122512,-0.013883363934543301,297,0.2545810155347029,0
0.06,0.25165859809316454,0.027635683156704283,0.004186707223972267,0.0001465383883932914,0.03966004614815892,-0.0033501188678992516,347,0.25515196897101267,0
0.07,0.2519349361410956,0.027631613529296994,0.004884386737706518,0.00019538225577035658,0.042365856406464335,-0.004332368425762364,397,0.2584115524540385,0
0.08,0.2522112303637505,0.027626918175488457,0.00558201778250236,0.0002512024335953802,0.03770049808367582,0.006093505625741278,446,0.24590970532933792,0
0.09,0.25248747450460535,0.02762159725387403,0.006279593436718347,0.0003139983679625637,0.020682893099998906,-0.0007350102066864903,496,0.24931795060540893,0
0.1,0.25276366230882796,0.027615650944176617,0.006977106779709988,0.00038376943575966355,0.12376742034246252,-0.009346987589183425,546,0.2486878095024301,0
0.11,0.2530397875234889,0.027609079447241114,0.007674550891954296,0.0004605149446792065,0.09868585249320533,-0.0066560637181308936,596,0.24949799732338918,0
0.12,0.2533158438977728,0.027601882985042736,0.00837191885517433,0.0005442341332309498,0.05926126734844228,-0.014177433540579213,646,0.2547261945173414,0
