split_index,before_mean,after_mean,absolute_mean_difference
165,72.08363305916146,72.78777703429802,0.7041439751365601
155,72.06495242161486,72.76755293219244,0.7026005105775823
160,72.07630114478737,72.77603896641888,0.6997378216315155
145,72.05105536689449,72.74424627093049,0.6931909040360011
170,72.09989542504997,72.79175660100663,0.6918611759566602
150,72.06360732253951,72.75178513366109,0.6881778111215766
140,72.05162344332683,72.72813042901818,0.676506985691347
135,72.0441556200726,72.7175776343998,0.6734220143272012
175,72.12029808626522,72.79115573704507,0.6708576507798512
130,72.03999055520849,72.7052921924898,0.6653016372813028
