timestamp_s,imu_ax_mps2,imu_gyroz_rps,timestamp_aligned_s
0.0,0.6503450324356632,-0.004005049829585,0.0
0.02,0.7248986726428885,-0.0206056343724251,0.02
0.04,0.9235645313740364,-0.0134684280795291,0.04
0.06,0.7922578128991015,-0.0064272407429373,0.06
0.08,0.8793629274024204,0.0100439794083168,0.08
0.1,0.8381289667230616,-0.0229041795209905,0.1
0.12,0.6924291235932922,-0.0088863460503553,0.12
0.14,0.8337542359768444,-0.0249321666849777,0.14
0.16,0.7306306850167356,0.0259505972910778,0.16
0.18,0.7298245787306091,0.0128478616800419,0.18
0.2,0.7800474512819181,0.0199320025900782,0.2
0.22,0.5851387948137285,-0.0046181583726658,0.22
0.24,0.9111604204992636,0.0516177209090306,0.24
0.26,0.6874067492773033,-0.0096636205910278,0.26
0.28,0.8877938452009295,-0.0143720761300275,0.28
0.3,0.7839310412221295,0.0264692413222828,0.3
0.32,0.9512144594783664,-0.0207318580797547,0.32
0.34,0.6879591412961199,0.0372948035750513,0.34
0.36,0.7295120724366317,0.0199646270620698,0.36
0.38,0.8072187440128534,0.0209596455507343,0.38
0.4,0.501535926471077,0.0389043436848414,0.4
0.42,0.865516063301839,0.0433767250254781,0.42
0.44,0.9508811995296956,0.0194295055090282,0.44
0.46,0.900809466512818,0.0221094080089882,0.46
0.48,0.8558591529522492,-0.0005018965030635,0.48
0.5,0.7474506461390952,-0.0394643458491327,0.5
0.52,0.9184645201544744,0.0058549063105165,0.52
0.54,0.8931752579535231,-0.0256465989783024,0.54
0.56,0.8110484951365488,0.0118071633942288,0.56
0.58,0.7641772114495903,0.0511711621911421,0.58
0.6,0.7197680689644204,0.0144705708500407,0.6
0.62,0.6151559397529928,0.0326141038039846,0.62
0.64,0.9095221484423736,0.0124792724205256,0.64
0.66,0.5013073284720373,0.0264241436113759,0.66
0.68,0.7171000177403535,0.0168183644076046,0.68
0.7000000000000001,0.7807955664340397,0.0488364512105673,0.7000000000000001
