timestamp_s,wheel_left_mps,wheel_right_mps,measurement,kalman_speed_mps
0.03,8.067566048732765,8.010026163421102,8.038796106076934,8.038796106076934
0.08,8.048313319434905,8.141135145543423,8.094724232489163,8.080708181344493
0.13,7.982930261622527,8.114756730318902,8.048843495970715,8.057342123932184
0.18,8.019699635797158,8.104195752161106,8.061947693979132,8.060714044849574
0.23,8.023411883550551,8.115250666477714,8.069331275014132,8.067022350178927
0.28,8.380525410584685,8.322162382739764,8.351343896662225,8.275160298247842
0.33,8.215262349118822,8.009393845489015,8.11232809730392,8.155958848688583
0.38,8.27085387959554,8.064379924767039,8.16761690218129,8.164493136190153
0.43,8.26950566117518,8.503189045439031,8.386347353307105,8.326901695030823
0.48,8.377764854260827,8.461535531265442,8.419650192763134,8.394798307697691
0.53,8.33279931903503,8.453740075482305,8.393269697258667,8.393679287191343
0.5800000000000001,8.353715125973036,8.342040529729948,8.347877827851491,8.360150291893769
0.6300000000000001,8.38571416508143,8.628281592140072,8.50699787861075,8.467650186339476
0.68,8.534211545729034,8.8579086259858,8.696060085857418,8.634857837738313
0.7300000000000001,8.704485087168253,8.561113575648955,8.632799331408604,8.633350906517263
0.78,8.650685873951605,8.606329689404838,8.628507781678222,8.629805493067686
0.8300000000000001,8.55761729889919,8.638725523563064,8.598171411231128,8.606647737912533
0.8800000000000001,8.647115558638461,8.63445037494562,8.640782966792042,8.631636459780326
0.93,8.744089854916032,8.767990947302204,8.756040401109118,8.72270646549482
0.98,8.890811295798917,8.575898594475785,8.73335494513735,8.730501693616516
1.03,8.876834527460993,8.759669019212422,8.818251773336709,8.794739210339916
1.08,8.728648061525162,8.83079573170276,8.77972189661396,8.783745773699314
1.13,8.948818082216976,8.711433601802435,8.830125842009705,8.817698340161035
1.1800000000000002,8.943981596004209,8.851761954011197,8.897871775007703,8.876389367886109
1.2300000000000002,9.070021303427517,8.919399528009984,8.99471041571875,8.96300638650439
1.28,9.02171448465062,8.875544382488082,8.948629433569351,8.952481726497915
1.33,8.995214671046748,8.758992022101467,8.877103346574106,8.897300922601458
1.38,9.032744469083896,8.859133704441682,8.945939086762788,8.932906529954428
1.4300000000000002,9.156326707940767,9.298829855377566,9.227578281659166,9.148621223757617
1.4800000000000002,9.116638468418824,9.069403772827618,9.09302112062322,9.107919123357169
1.53,9.23451965421377,9.514685019355966,9.374602336784868,9.303144785111979
1.58,9.233399813614646,9.063786812834977,9.148593313224811,9.19000525530602
1.63,9.087750942899577,9.124865122822332,9.106308032860955,9.128734636023838
1.6800000000000002,9.030537615975785,9.093425311062028,9.061981463518906,9.079867922183817
1.7300000000000002,9.266234388899669,9.22190236509467,9.24406837699717,9.200070997733109
1.78,9.467896336182555,9.12608171853071,9.296989027356632,9.271019919586994
1.83,9.285405927320523,9.416851759133705,9.351128843227114,9.329663721831217
1.88,9.472617149721597,9.420366172098523,9.446491660910059,9.415187708980492
1.93,9.393030812677866,9.555392949991452,9.474211881334659,9.458396402018444
1.98,9.375240590231714,9.51134527388153,9.443292932056622,9.4473398946358
2.03,9.581367662235204,9.47267712461808,9.527022393426641,9.505671532224742
2.08,9.80777388232428,9.529440905202769,9.668607393763525,9.62494886124614
2.13,9.545740179742763,9.72212601520178,9.633933097472273,9.63152577863087
2.18,9.56800975559807,9.411522297488665,9.489766026543368,9.52775043763445
2.23,9.703139883187076,9.68446013231999,9.693800007753532,9.649307159536589
