time_s,true_accel_mps2,imu_ax_mps2,imu_ax_ma
0.0,0.0276469544487234,0.0693519086606066,0.06911194055524458
0.01,0.0276466413264342,0.0492227772590617,0.0715764332167413
0.02,0.0276457019701387,0.0994562688540527,0.0706291127653337
0.03,0.0276441364115559,0.0916188323722456,0.07167302508881775
0.04,0.0276419447035741,0.0914853821697383,0.07281352322991967
0.05,0.0276391269202369,0.0949194627112251,0.07208263746928094
0.06,0.0276356831567042,0.0396600461481589,0.07115195082609718
0.07,0.0276316135292969,0.0423658564064643,0.06937043288264591
0.08,0.0276269181754884,0.0377004980836758,0.07097097638115922
0.09,0.027621597253874,0.0206828930999989,0.07051103326185834
0.1,0.0276156509441766,0.1237674203424625,0.06792370649938914
0.11,0.0276090794472411,0.0986858524932053,0.06938859995522013
0.12,0.0276018829850427,0.0592612673484422,0.0732073026393332
0.13,0.0275940618006537,0.0852438852941104,0.07069177560610328
0.14,0.0275856161582405,0.0887804972053469,0.06741514270951608
0.15,0.027576546343086,0.0611193510596998,0.06914707302636852
0.16,0.0275668526615313,0.056260964535157,0.06932437905677401
0.17,0.0275565354409923,0.0390846278439743,0.07215139096309517
0.18,0.0275455950299541,0.0997807593543988,0.07444744017834332
0.19,0.0275340317979377,0.0617721139951416,0.07687540812596791
0.2,0.0275218461355086,0.0161771712500054,0.0788788875582411
0.21,0.0275090384542459,0.1001146712330573,0.07401352835403703
0.22,0.0274956091867395,0.1294155336254359,0.07519782830459608
0.23,0.0274815587865712,0.0466302011562243,0.07399467886485597
0.24,0.0274668877282974,0.0228095415439148,0.07568628260467161
0.25,0.0274515965074384,0.1278559188236395,0.07334462983642608
0.26,0.0274356856404561,0.0986428893497402,0.07529314635480522
0.27,0.0274191556647318,0.0990272961809035,0.07458469310436004
0.28,0.027402007138555,0.0905828899266751,0.07408474133739938
0.29,0.0273842406411123,0.0886878249837927,0.07625526172715226
0.3,0.027365856772446,0.0627559611777357,0.07772801366494472
0.31,0.0273468561534484,0.021594877054177,0.0814968697983347
0.32,0.0273272394258394,0.1235561514549451,0.07967506649400231
0.33,0.0273070072521336,0.0339951291139003,0.07621850889998781
0.34,0.0272861603156343,0.1207675638302387,0.07974445925240928
0.35,0.0272646993203978,0.0396057890721904,0.08261146994570251
0.36,0.0272426249912166,0.1020381979456619,0.07947435911597733
0.37,0.0272199380735777,0.0413834462758086,0.07724271635036516
0.38,0.0271966393336597,0.0285856407378002,0.07568554815218491
0.39,0.0271727295582946,0.1453616875392094,0.07279451998860995
0.4,0.0271482095549391,0.0926999046887831,0.07396947831635993
0.41,0.0271230801516558,0.095323150051195,0.07526310522923375
0.42,0.0270973421970605,0.0618568018420775,0.080687046827489
0.43,0.0270709965603327,0.0568278241511313,0.07546338531557839
0.44,0.0270440441311553,0.1206751585570748,0.07888609889748557
0.45,0.027016485819678,0.0830167661030728,0.07250724815480977
0.46,0.0269883225565259,0.0619765913994106,0.07227872575711045
0.47,0.0269595552927215,0.0517783912718845,0.07128631448967286
0.48,0.0269301849996711,0.0663267640191182,0.07124945571789539
0.49,0.0269002126691481,0.029871298491601,0.07546444241190849
0.5,0.0268696393132289,0.1133619498665425,0.07241530509983563
0.51,0.0268384659642739,0.0899221263480859,0.0733620504110639
0.52,0.0268066936748856,0.1354976506175373,0.07421206481917185
0.53,0.026774323517878,0.0138592597048222,0.07661726143869858
0.54,0.0267413565862545,0.105872114333951,0.07705051152957584
0.55,0.0267077939931248,-0.0131883017659529,0.07455691446186744
0.56,0.0266736368717074,0.0348068187205044,0.07306236950258348
0.5700000000000001,0.0266388863752825,0.0811975613294726,0.07389772017099502
0.58,0.0266035436771394,0.0406094120684818,0.07494270555179045
0.59,0.0265676099705541,0.1171003613120753,0.07766417545217158
0.6,0.0265310864687201,0.0813298039856792,0.08170198971736616
0.61,0.0264939744047371,0.112581556224577,0.08126904019142706
0.62,0.0264562750315611,0.113173452621462,0.08127375497828629
0.63,0.0264179896219407,0.1123659308521387,0.0785907653032394
0.64,0.0263791194683893,0.0659260760595539,0.08222942921041594
0.65,0.0263396658831543,0.0683096201351983,0.07968098883865692
0.66,0.0262996301981455,0.0516313219581093,0.08504553141355642
0.67,0.0262590137648954,0.0795189554360532,0.08817683660142855
0.68,0.0262178179545241,0.0737230842685884,0.09202531254449497
0.6900000000000001,0.0261760441576802,0.1234776319271223,0.09323595618694322
0.7000000000000001,0.0261336937845052,0.1146653980606871,0.09105486869415608
0.71,0.0260907682645722,0.1042700098218212,0.09148020404855907
0.72,0.026047269046836,0.0900211368721298,0.09023073019114995
0.73,0.0260031975995944,0.0791548674415524,0.08755287710626514
0.74,0.0259585554104352,0.0902712017555298,0.08897398597814829
0.75,0.0259133439861752,0.0523548665270116,0.0880427127779781
0.76,0.0258675648528078,0.0994670923069364,0.09052093935678907
0.77,0.0258212195554718,0.1005642276658194,0.09393568067543663
0.78,0.0257743096583662,0.1620155561338674,0.09481786246205767
0.79,0.0257268367447244,0.0660329285598949,0.09182431856780078
0.8,0.0256788024167425,0.0712975239635453,0.09111789853374927
0.81,0.0256302082955267,0.090261846428142,0.08760997768398342
