time_s,bearing_vibration_g,vibration_rms
0.0,0.1783070587915398,0.1783070587915398
0.5,0.1957916825543392,0.18725355827373316
1.0,0.1716973969208496,0.18221579357247872
1.5,0.1587020342572341,0.17663105754589767
2.0,0.1624215994758406,0.17388208529657057
2.5,0.1598817840595167,0.17162802937820362
3.0,0.1950840586007255,0.17517129279226926
3.5,0.1791474164337753,0.17567322987029815
4.0,0.1840933502075525,0.1766286220467307
4.5,0.1748878754960072,0.17645532016084084
5.0,0.1829431170615366,0.17705494376062003
5.5,0.170638245786017,0.1765291277041291
6.0,0.1833068788217812,0.1770597046107833
6.5,0.1918087014683212,0.1781537026835687
7.0,0.1928142250142326,0.1791683957037726
7.5,0.1812587289404802,0.17929975549046925
8.0,0.2005846479825251,0.18062125438564508
8.5,0.1562064671483165,0.1793520898630377
9.0,0.1626036003515797,0.17850977112215524
9.5,0.176618841934321,0.1784157006350368
10.0,0.1728447743655291,0.17815436868162188
10.5,0.1620216993408874,0.17745288641631576
11.0,0.1866565097635115,0.17786294728412524
11.5,0.2013736963348641,0.17890425860839448
12.0,0.1574112165338975,0.1780943459010358
12.5,0.1761908424868999,0.17802151058706234
13.0,0.1884333401614598,0.1784179692939725
13.5,0.1998508331062071,0.17922756815227928
14.0,0.1695263873883419,0.1789018021172104
14.5,0.2056311644130906,0.1798567916427459
15.0,0.192269936249212,0.18027055771864575
15.5,0.1829216854425049,0.18035399534587754
16.0,0.1687762826270853,0.1800140962467379
16.5,0.1879794133692312,0.1802533943401641
17.0,0.1980059271267819,0.180784803169519
17.5,0.1797229579991067,0.180755391699852
18.0,0.1916316365040613,0.1810579347879175
18.5,0.1793434705049339,0.1810130253491799
19.0,0.1869233407849949,0.18116698052580166
19.5,0.1959171167989178,0.18155033979143445
20.0,0.1890991943963444,0.18173818883061738
20.5,0.1883831100053461,0.18189922226803323
21.0,0.1780702379047068,0.18181109198257123
21.5,0.201332560838616,0.182277981158731
22.0,0.1729548145688978,0.1820759862228393
22.5,0.1744074318669751,0.18191271595766412
23.0,0.1710219333424671,0.18168779441964358
23.5,0.2047006801393824,0.18219687935147902
24.0,0.1651973645546042,0.1818658344817725
24.5,0.1926548372353436,0.18208787945088487
25.0,0.1780087530437357,0.18208204200806266
25.5,0.16791332406824,0.18152432357860374
26.0,0.1755035525841334,0.18159710919470812
26.5,0.1816083854547536,0.18202586483155822
27.0,0.1679474165339917,0.18212612839062864
27.5,0.1871391142961475,0.18264474782229462
28.0,0.182171141162299,0.1823778347335949
28.5,0.1687179073312534,0.18217879489913547
29.0,0.1738802360750641,0.18197800089307187
29.5,0.1523113685033148,0.1815716180702143
30.0,0.1595792811153185,0.1811303391104251
30.5,0.1803120746001201,0.1813176781582287
31.0,0.1604844643544279,0.18088443117694203
31.5,0.2097996793368216,0.18128343551473
32.0,0.1749971658332585,0.18092157871757575
32.5,0.1779949881894283,0.18085675941398674
33.0,0.1721706836251427,0.18027018137119125
33.5,0.1986463358167677,0.18110366207973705
34.0,0.1831187823519018,0.1814948692683805
34.5,0.1616495795479755,0.18121565880348986
35.0,0.1913427121587263,0.18158702967172127
35.5,0.1907911859261347,0.18214514612361873
36.0,0.1892714745213977,0.1821991081893723
36.5,0.1847257041976816,0.18184597721510878
37.0,0.1793024532205079,0.18225087380345278
37.5,0.1947331691300206,0.18262786448345067
38.0,0.1637604340068123,0.18215143152613303
38.5,0.1710096666301611,0.18156327552336624
39.0,0.1879905020930468,0.1819264897586354
39.5,0.1643587841791088,0.18108517432158247
40.0,0.1957456668960682,0.18115963433818283
40.5,0.1666197264734041,0.18084481999339383
41.0,0.181181773244902,0.18108472311605417
41.5,0.1963821451096405,0.18126298763774826
42.0,0.1664058251947526,0.1806265808705648
42.5,0.2139071205064019,0.18137000856927396
43.0,0.1870252208293307,0.18127381220341568
43.5,0.1685766057723663,0.18106704510423416
44.0,0.1679329366924971,0.18069448674682254
44.5,0.1853052229439429,0.18047046218317198
45.0,0.1913476640563822,0.1805178555849184
45.5,0.1696218532703237,0.18014539606775665
46.0,0.1616349203267301,0.17983520367614542
46.5,0.1964272778603489,0.17972667578831067
47.0,0.1653150464426501,0.1795828274748786
47.5,0.1694297755908593,0.17948749776850398
48.0,0.1781262190832255,0.17962564076437562
48.5,0.1868647538163626,0.1792364142003488
49.0,0.1756681731334004,0.17943543387894095
49.5,0.1738959907696783,0.17905181796685454
50.0,0.183862284794447,0.17917008117827202
50.5,0.1826358683484304,0.1794578989891038
51.0,0.1906854108250306,0.17976742221053446
51.5,0.1882109088293277,0.17990319869006816
52.0,0.1909141100901583,0.18036074449042297
52.5,0.2007150730549745,0.18065245086125453
53.0,0.1738436639559476,0.18048826526587003
53.5,0.1780420645707625,0.18066731521980037
54.0,0.1878455746012366,0.18094670833349163
54.5,0.1979794620647564,0.18182863785775782
55.0,0.1982887581127743,0.18258891323916723
55.5,0.2048873840398174,0.18310663329246632
56.0,0.1963032602691861,0.18380324613446145
56.5,0.1780484952994532,0.18313203027907693
57.0,0.1912081303749076,0.1834559111491713
57.5,0.2001275626235923,0.18391152178587056
58.0,0.1765732700937284,0.1839949873062514
58.5,0.1788599406298876,0.183588576949661
59.0,0.1702436462347296,0.1833405950657591
59.5,0.1896053056746622,0.1838754075631256
60.0,0.2058150403242732,0.18418773426331636
60.5,0.2180848139035688,0.18479262875347358
61.0,0.1666130363485116,0.1843557427852315
61.5,0.2160344497601914,0.1850350935680354
62.0,0.2036518024260566,0.18553835072496846
62.5,0.1816126287199232,0.18527202267143358
63.0,0.166319189367025,0.18531760371016104
63.5,0.1781035434017995,0.185451194568012
64.0,0.168399135308452,0.18507431578858105
64.5,0.1921665112590153,0.1856092280218415
65.0,0.1833593255499137,0.18535606558733006
65.5,0.2089167160256419,0.18621104228727128
66.0,0.1864073679808917,0.18631416936813974
66.5,0.17687421619852,0.18592294246837696
67.0,0.1898737245365528,0.1863721094700388
67.5,0.1929898076645226,0.18591487132957682
68.0,0.1874918606146842,0.1859242713389057
68.5,0.1672709726619282,0.18590068530947848
69.0,0.1671921555795213,0.1858873306918924
69.5,0.1838384758324917,0.18585820106381948
70.0,0.1711936025253217,0.18546465248880828
70.5,0.1974274481858511,0.186014133351745
71.0,0.1964058415424317,0.1866822057643953
71.5,0.1808866824713344,0.1863678413171575
72.0,0.1741494139941217,0.18652868774936576
72.5,0.196540973557165,0.1870598552926335
73.0,0.1609970918310272,0.18674906086822565
73.5,0.1665656076818098,0.1863644951272518
74.0,0.1849157996258286,0.18654333534602657
74.5,0.1950066140110218,0.18696034670503164
75.0,0.1990771546997636,0.18727172428088557
75.5,0.1747130099904016,0.18712048050437036
76.0,0.1770461839447676,0.1868522483973482
76.5,0.1978323591253412,0.18705092529426057
77.0,0.1586411733102627,0.18644684267156106
77.5,0.1832414853040308,0.18608665500216054
78.0,0.1842165167132001,0.1862861381867675
78.5,0.1916197868458096,0.18655537676417616
79.0,0.1969085568002682,0.1867421992922372
79.5,0.1699043574758289,0.18618829571779777
80.0,0.1755628019235529,0.18573141570236565
80.5,0.1822573143741714,0.18525910652081068
81.0,0.1885943523712331,0.1850988755880741
81.5,0.1725537451436907,0.18499476833052234
82.0,0.1828597604109443,0.1848258833788851
82.5,0.198313013777911,0.18478676188792742
83.0,0.1759290833273097,0.1847744728635465
83.5,0.1887248499926831,0.18497061830154043
84.0,0.1853020406733949,0.1852598407068913
84.5,0.2120360795225477,0.1857455009423618
85.0,0.2285826690652404,0.18627719998914274
85.5,0.1998612518798543,0.18586787219621265
86.0,0.1830285993547559,0.18617641419029832
86.5,0.1599285434023629,0.18503994787880204
87.0,0.2033786629464984,0.18503393956028782
87.5,0.1965121100622197,0.1853381667088869
88.0,0.193618138199908,0.185867571816003
88.5,0.1973909870822297,0.18625681422422496
89.0,0.1720137261587778,0.18632286469793582
89.5,0.1935456362176277,0.186351412160557
90.0,0.2045556940597679,0.18679212137656365
