time_s,battery_internal_resistance_ohm,resistance_slope
0.0,0.0462671571439925,
0.5,0.0455994065573312,
1.0,0.0456108313567923,
1.5,0.0414361414350735,
2.0,0.047533857299863,
2.5,0.0446751762984397,
3.0,0.0420555089842096,
3.5,0.0436467109506856,
4.0,0.046520542858119,
4.5,0.0429998423296784,
5.0,0.0476025882890564,
5.5,0.0430344661480214,
6.0,0.0438012674820559,
6.5,0.0430824686181722,
7.0,0.0444288791193851,
7.5,0.044349496291668,
8.0,0.0454897644541325,
8.5,0.0425953331506687,
9.0,0.0458655441495316,
9.5,0.0462083619834467,
10.0,0.0452057279158972,
10.5,0.0443104111994087,
11.0,0.0419220972955429,
11.5,0.0433120849838576,
12.0,0.0440333387973363,
12.5,0.0453796629762086,
13.0,0.046986847722804,
13.5,0.0460930724053671,
14.0,0.0441098173384166,
14.5,0.0444587004764844,
15.0,0.0417231136810269,
15.5,0.0415256950116322,
16.0,0.0426374404703303,
16.5,0.0450721914766133,
17.0,0.0455580535113573,
17.5,0.0468361778536269,
18.0,0.0499196797452787,
18.5,0.0446549386707077,
19.0,0.0440621751470701,
19.5,0.046929657251059,
20.0,0.0474706162951454,
20.5,0.0444819533759098,
21.0,0.0448488752825708,
21.5,0.046721390321851,
22.0,0.0478765097211275,
22.5,0.0477923935720041,
23.0,0.0458734725653012,
23.5,0.0475833466257982,
24.0,0.0463512237769693,
24.5,0.0452257368438367,
25.0,0.0468007038209173,
25.5,0.0454964605076143,
26.0,0.0465900176176375,
26.5,0.0443809714074769,
27.0,0.0449406230978002,
27.5,0.0421882895160147,
28.0,0.0455649318674843,
28.5,0.0432837047467942,
29.0,0.0448912781071832,
29.5,0.0445883600160138,
30.0,0.0434174705826273,
30.5,0.0476434469684226,
31.0,0.0433776655257629,
31.5,0.0443083094954122,
32.0,0.0459812383172502,
32.5,0.0459709199468288,
33.0,0.04422632175391,
33.5,0.0463608463912338,
34.0,0.0442033402522325,
34.5,0.0468083833524528,
35.0,0.0459709353061808,
35.5,0.0441814299710732,
36.0,0.0441835887474647,
36.5,0.0446215257682196,
37.0,0.0446804710937373,
37.5,0.042002222462202,
38.0,0.0465729815532473,
38.5,0.0441613955578613,
39.0,0.0417501225699955,
39.5,0.0455602274234397,
40.0,0.0428460090646059,
40.5,0.0431053875290324,
41.0,0.0438837429399201,
41.5,0.0458433111724652,
42.0,0.0470301026190774,
42.5,0.0430013105393702,
43.0,0.0456745698981568,
43.5,0.0448432897653149,
44.0,0.0453457785639675,
44.5,0.0449965696591616,
45.0,0.04337927640933,
45.5,0.0489042994693225,
46.0,0.0462379348597865,
46.5,0.0432526114172561,
47.0,0.0445321483514927,
47.5,0.0467176712321972,
48.0,0.0452039268362743,
48.5,0.0432596498259932,
49.0,0.0485808896507723,
49.5,0.0448120510784039,
50.0,0.0446037413799956,
50.5,0.0479177492603005,
51.0,0.0440627874641615,
51.5,0.0462904608241135,
52.0,0.0464684318002527,
52.5,0.0463615059350076,
53.0,0.0460984783915727,
53.5,0.045406052184123,
54.0,0.0442863200060989,
54.5,0.0443369972586809,
55.0,0.0466594360587614,
55.5,0.0430680046889307,
56.0,0.0463163547689447,
56.5,0.0459696698960505,
57.0,0.0449646706832689,
57.5,0.0453665099993044,
58.0,0.0472003169501788,
58.5,0.0454256075606298,
59.0,0.0457768826158134,
59.5,0.0441220032124868,6.212239897809292e-06
60.0,0.0488200973199712,8.263343133963724e-06
60.5,0.0477808219703124,9.586696290434321e-06
61.0,0.044315863287398,9.467898903957797e-06
61.5,0.0442402419930426,7.572775111419883e-06
62.0,0.0438678186619436,8.066348596897286e-06
62.5,0.0449139575197544,7.816544765141193e-06
63.0,0.0495129347189397,8.36478586441723e-06
63.5,0.0439899767856359,7.247593921158836e-06
64.0,0.0460197769271925,8.17427080898146e-06
64.5,0.0443739013347977,6.945025662029622e-06
65.0,0.0445758238579722,7.723603708814172e-06
65.5,0.0453287395579148,6.9149455520089545e-06
66.0,0.0457202573428559,6.574323477592149e-06
66.5,0.0440102398503747,5.211739031286265e-06
67.0,0.0458166506716513,5.154880732331392e-06
67.5,0.0455008727871499,4.924543603201078e-06
68.0,0.0448503267286996,4.896493833302978e-06
68.5,0.0459055155322427,4.092765736275397e-06
69.0,0.044861886595863,4.208835273354777e-06
69.5,0.0456729936662336,4.811084456191735e-06
70.0,0.0456263980908821,4.976522544487459e-06
70.5,0.0447320873409129,4.393305718235595e-06
71.0,0.0455440407038652,3.1391850637338385e-06
71.5,0.0469170178404707,3.0112846423229168e-06
72.0,0.0493829068221147,4.18035843625087e-06
72.5,0.0476236389767727,5.150992116276128e-06
73.0,0.0448541671104395,5.6369193939238806e-06
73.5,0.0439106366310021,5.372233506635366e-06
74.0,0.048638966151211,6.243259201237125e-06
74.5,0.0446579013543252,5.584351745103083e-06
75.0,0.0459055039658158,4.290192906100175e-06
75.5,0.045666689724092,2.7853550812942297e-06
76.0,0.0478664042124763,2.6278512213307154e-06
76.5,0.0461449982314775,2.745712430250704e-06
77.0,0.0472907738399324,3.533727782168137e-06
77.5,0.0463837275976369,4.471924056109092e-06
78.0,0.0454624300826827,6.328150141572837e-06
78.5,0.0464577239090161,6.414533858245924e-06
79.0,0.0470817198746223,6.497186632042836e-06
79.5,0.0455384881524717,7.125994243646354e-06
80.0,0.0454213697483723,7.943361103961091e-06
80.5,0.0434448093969053,6.702458633216042e-06
81.0,0.0469639229714423,7.0771070827916e-06
81.5,0.0446143111740054,7.252923740159932e-06
82.0,0.0456401856857342,8.352633280728004e-06
82.5,0.0452353871990883,9.26525890614914e-06
83.0,0.0470914280757263,1.015633246286648e-05
83.5,0.0439220325717397,1.0447714323372251e-05
84.0,0.046901615725507,1.147805777391229e-05
84.5,0.0461791588484759,1.1733149223713418e-05
85.0,0.0446410943847147,1.2007806230253906e-05
85.5,0.0479642601814377,1.3122669180862965e-05
86.0,0.0467526087026172,1.41791887916063e-05
86.5,0.0478149936774835,1.4745410598369158e-05
87.0,0.0446372724525731,1.420982319693961e-05
87.5,0.0459856632813933,1.3077086154993588e-05
88.0,0.0442722714938665,1.262872078566834e-05
88.5,0.0466221305681989,1.2201850204138595e-05
89.0,0.043739672837406,1.1236147255777386e-05
89.5,0.0443967856545839,1.0422699834717383e-05
90.0,0.0445730030790299,9.191429650938636e-06
90.5,0.0466067515137746,1.0568146623986403e-05
91.0,0.0441344256468097,9.138095967958335e-06
91.5,0.0429583167300296,7.6078211261832226e-06
92.0,0.046456016482371,8.235163631105618e-06
92.5,0.0454425300415558,8.436077336776726e-06
93.0,0.0458646449175494,8.082063855527384e-06
93.5,0.0460194539233802,8.677502094823705e-06
94.0,0.0490892350816163,9.6373007061829e-06
94.5,0.0436152636563574,9.395751397068798e-06
95.0,0.0434794036929354,8.768368662529373e-06
95.5,0.0462285860023876,8.542422182255381e-06
96.0,0.047186283179198,8.698908037286339e-06
96.5,0.0453501940130821,8.259833019618268e-06
97.0,0.0464100915860271,8.278438601569405e-06
97.5,0.0450805514269084,6.6103207848976195e-06
98.0,0.0463834295446916,7.379690599669494e-06
98.5,0.0470516683033701,7.4132371310822864e-06
99.0,0.0433358350555584,4.8781027349572005e-06
99.5,0.046746934761889,5.342385407200889e-06
100.0,0.0455304528105325,4.155320109769352e-06
100.5,0.0442200624746608,2.517110485422651e-06
101.0,0.0438086423950749,1.028191316508225e-06
101.5,0.0464865338007415,1.4697084087995867e-06
102.0,0.0454615692152716,1.981871150485146e-06
102.5,0.0453952415419938,7.847493308922137e-07
103.0,0.0464886045539423,1.1460229513639788e-06
103.5,0.048658638262268,2.04907393799053e-06
104.0,0.0479080813302281,2.8266098636071893e-06
104.5,0.0476616761231044,3.3378040201365165e-06
105.0,0.04502332205722,2.0607252757775677e-06
105.5,0.0449984654966205,3.0833957093199684e-06
106.0,0.0446607208958092,2.8733067244826228e-06
106.5,0.047524291172323,2.603127296860729e-06
107.0,0.0458213440124227,2.137204753412495e-06
107.5,0.0449883571933794,2.2364063358661514e-06
108.0,0.0435760186957223,1.1279798710588753e-06
108.5,0.0427177537109481,-1.140718956936796e-06
109.0,0.0466234105699517,4.4406848928701765e-07
109.5,0.0449084494689103,-2.497567463381486e-07
110.0,0.045108713257266,-9.49022913535012e-07
110.5,0.0473351540053661,6.60661050479329e-07
111.0,0.0451311035273858,-2.5610541158642056e-07
111.5,0.0417609989310929,-1.6368992454530236e-06
112.0,0.0458259155862891,-1.2317409511606193e-06
112.5,0.0468407307072964,-4.4770217164963293e-07
113.0,0.0465901459614808,1.1894523675109385e-07
113.5,0.0441079541385693,-6.344564317549247e-07
114.0,0.0449671119193245,-1.49429473315237e-06
114.5,0.0461746858433143,-1.838570631984238e-06
