time_s,ego_speed_mps,target_speed_mps,decel_cmd_mps2
0.0,7.988702700155028,7.988702700155028,0.0
0.1,7.932185413246101,7.932185413246101,0.0
0.2,8.116913063993982,8.116913063993982,0.0
0.3,8.102541560352506,8.102541560352506,0.0
0.4,8.11458440599913,8.11458440599913,0.0
0.5,8.138858979254039,8.138858979254039,0.0
0.6000000000000001,7.9618984105101935,7.9618984105101935,0.0
0.7000000000000001,7.983674979124395,7.983674979124395,0.0
0.8,7.980177698226569,7.980177698226569,0.0
0.9,7.934328097542575,7.934328097542575,0.0
1.0,8.300254987907456,8.300254987907456,0.0
1.1,8.22675253041007,8.22675253041007,0.0
1.2000000000000002,8.104070789505712,8.104070789505712,0.0
1.3,8.205638604380301,8.205638604380301,0.0
1.4,8.230244484624796,8.230244484624796,0.0
1.5,8.147881935785131,8.147881935785131,0.0
1.6,8.14369510257466,8.14369510257466,0.0
1.7000000000000002,8.097269635751939,8.097269635751939,0.0
1.8,8.31782933998564,8.31782933998564,0.0
1.9,8.199966031260391,8.199966031260391,0.0
2.0,8.056085438591587,8.056085438591587,0.0
2.1,8.356308470587875,8.356308470587875,0.0
2.2,8.469197794682016,8.469197794682016,0.0
2.3000000000000003,8.197783014798572,8.197783014798572,0.0
2.4000000000000004,8.128523763743601,8.128523763743601,0.0
2.5,8.501084804916944,8.501084804916944,0.0
2.6,8.413317847197122,8.413317847197122,0.0
2.7,8.427017297137864,8.427017297137864,0.0
2.8000000000000003,8.410435530460745,8.410435530460745,0.0
2.9000000000000004,8.416297164884327,8.416297164884327,0.0
3.0,8.339734951485534,8.339734951485534,0.0
3.1,8.210945820289142,8.210945820289142,0.0
3.2,8.572848988547056,8.572848988547056,0.0
3.3000000000000003,8.278090871371571,8.278090871371571,0.0
3.4000000000000004,8.587890715491145,8.587890715491145,0.0
3.5,8.321901755624738,8.321901755624738,0.0
3.6,8.548220860107303,8.548220860107303,0.0
3.7,8.352511512902522,8.352511512902522,0.0
3.8,8.320867315784042,8.320867315784042,0.0
3.9,8.733460040979526,8.733460040979526,0.0
4.0,8.565106301825082,8.565106301825082,0.0
4.1000000000000005,8.586283991828722,8.586283991828722,0.0
4.2,8.483708217814863,8.483708217814863,0.0
4.3,8.478613810307698,8.478613810307698,0.0
4.4,8.709648094801091,8.709648094801091,0.0
4.5,8.592643607121454,8.592643607121454,0.0
4.6000000000000005,8.532596256083803,8.532596256083803,0.0
4.7,8.509701307447719,8.509701307447719,0.0
4.800000000000001,8.571631198532211,8.571631198532211,0.0
4.9,8.458669763647904,8.458669763647904,0.0
5.0,8.756930665343551,8.756930665343551,0.0
5.1000000000000005,8.688550834539333,8.688550834539333,0.0
5.2,8.856772624088808,8.856772624088808,0.0
5.300000000000001,8.451666665499289,8.451666665499289,0.0
5.4,8.7790559009916,8.7790559009916,0.0
5.5,8.382741524013381,8.382741524013381,0.0
5.6000000000000005,8.559164695535351,8.559164695535351,0.0
5.7,8.730062388530518,8.730062388530518,0.0
5.800000000000001,8.602721521423044,8.602721521423044,0.0
5.9,8.876769028605498,8.876769028605498,0.0
6.0,8.765893803944525,8.765893803944525,0.0
6.1000000000000005,8.884782757915172,8.884782757915172,0.0
6.2,8.898525151039001,8.898525151039001,0.0
6.300000000000001,8.907442026904453,8.907442026904453,0.0
6.4,8.759877221501295,8.759877221501295,0.0
