time_s,ttc_s,ttc_warning
0.0,149.29135776959345,False
0.1,173.2296729186225,False
0.2,437.7635908569942,False
0.3,95.71563705923332,False
0.4,134.6392403430322,False
0.5,191.02359030703832,False
0.6000000000000001,645.8102284545511,False
0.7000000000000001,210.40566199630928,False
0.8,622.7264251650803,False
0.9,631.2064868117174,False
1.0,134.15596441899126,False
1.1,179.11089712570313,False
1.2000000000000002,156.5061651513966,False
1.3,653.3079526102166,False
1.4,216.15709214933912,False
1.5,291.9412553034918,False
1.6,164.2456950548278,False
1.7000000000000002,445.2334315739957,False
1.8,108.92502612218178,False
1.9,632.6006357002931,False
2.0,640.4212558678229,False
2.1,71.42214240945091,False
2.2,125.83367718441085,False
2.3000000000000003,374.39085138753495,False
2.4000000000000004,442.7335414178891,False
2.5,107.93078165024788,False
2.6,124.2496745916038,False
2.7,133.69908056018164,False
2.8000000000000003,138.42322647242145,False
2.9000000000000004,86.50513561589626,False
3.0,90.88649519628234,False
3.1,225.0301159898593,False
3.2,77.25572410117461,False
3.3000000000000003,451.2876043733549,False
3.4000000000000004,78.75952472709774,False
3.5,659.7096188117349,False
3.6,110.07374764378665,False
3.7,262.1957738244572,False
3.8,364.39846985878,False
3.9,48.50225877979688,False
4.0,230.23480889258775,False
4.1000000000000005,82.15772409485609,False
4.2,191.46609529964925,False
4.3,118.87681856635464,False
4.4,87.24492179342738,False
4.5,171.0768774805617,False
4.6000000000000005,118.70675251132066,False
4.7,342.2410890724788,False
4.800000000000001,171.71652779366826,False
4.9,242.57986848609852,False
5.0,123.6370079818854,False
5.1000000000000005,215.92888888641292,False
5.2,68.15261110369164,False
5.300000000000001,653.7400565404733,False
5.4,64.01500813239181,False
5.5,669.8270145340406,False
5.6000000000000005,652.6159603424938,False
5.7,113.8023867318952,False
5.800000000000001,81.46086813417656,False
5.9,76.12685440472136,False
6.0,75.91479644421747,False
6.1000000000000005,70.85387293342248,False
6.2,74.61345239016916,False
6.300000000000001,52.09906119120346,False
6.4,90.20028108064132,False
6.5,94.4986755968605,False
6.6000000000000005,221.37957628883996,False
6.7,68.70774729980874,False
6.800000000000001,222.3893858150076,False
6.9,85.1715209679983,False
7.0,69.48591292305919,False
7.1000000000000005,75.65299353195658,False
7.2,72.57600072630956,False
7.300000000000001,130.41252538215292,False
7.4,70.07146906540258,False
7.5,108.4164066788232,False
7.6,73.27997591468969,False
7.7,84.35108928611606,False
7.800000000000001,42.77435418422293,False
7.9,179.50965457108254,False
8.0,89.65895793595683,False
8.1,69.94992042039608,False
8.200000000000001,68.83491358636584,False
8.3,89.95646716334967,False
8.4,59.71602739386028,False
8.5,100.140696947382,False
8.6,54.91562729793027,False
8.700000000000001,55.55319120672161,False
8.8,76.83265591522324,False
8.9,109.19903333979846,False
9.0,58.19629509876157,False
9.1,131.25621892123735,False
9.2,153.13180649937084,False
9.3,63.31848417662202,False
9.4,67.75316541577921,False
9.5,77.88084460604033,False
