run_id,recipe,chamber_id,pressure_pa,rf_power_w,gas_flow_sccm,temperature_c,uniformity_percent,etch_rate_nm_min,wafer_count,defect_count,defect_rate,cycle_time_min
OPT-0001,ETCH-B,CH-01,17.63745237854299,832.8984236581615,114.59993519173273,70.62368145905785,93.50529296431547,504.6522928711774,100,8,0.08,63.38552882753406
OPT-0002,ETCH-A,CH-03,18.54243152555143,825.1788278093372,121.31512721075588,70.50974372873848,93.73926493592472,517.0607668364203,92,5,0.05434782608695652,62.587752131306786
OPT-0003,ETCH-B,CH-01,18.34590532106761,845.4175505793974,115.01890261284066,71.62064526567615,95.10378171596295,513.2879178983763,93,6,0.06451612903225806,63.1646336599675
OPT-0004,ETCH-A,CH-03,17.753937160797875,848.9228850199181,124.74958790128392,72.08840153081218,94.70664169005097,521.6162870204131,96,3,0.03125,61.597314470040594
OPT-0005,ETCH-A,CH-01,17.771835282912985,854.349014546787,114.65696052074485,72.21912460109662,94.14092317738823,521.8633433193996,111,5,0.04504504504504504,62.644140027921416
OPT-0006,ETCH-B,CH-03,18.486193587395647,823.8688387656784,124.38279896960219,73.0096389328543,92.25735043304306,509.4414796725323,98,10,0.10204081632653061,63.64036097682318
OPT-0007,ETCH-C,CH-02,17.93515656912461,872.320941254772,124.62830173291091,72.13661820066767,92.93393207062229,522.5292383699879,92,5,0.05434782608695652,59.96154091121115
OPT-0008,ETCH-B,CH-02,17.31529478294992,872.28483623415,117.76803109273999,70.68121703027042,94.2526607059408,520.5852842989067,95,4,0.042105263157894736,62.101610555227055
OPT-0009,ETCH-A,CH-02,18.2640710220323,855.5238420295053,123.88738940747785,73.4896542329279,94.3139650861154,528.8007151670352,106,4,0.03773584905660377,61.15624622430789
OPT-0010,ETCH-A,CH-01,18.00773662488292,826.1307804319164,122.85831989536436,71.76158664487758,94.48213624528951,511.778914008099,95,3,0.031578947368421054,62.83557292773387
OPT-0011,ETCH-A,CH-01,17.865258729542933,875.1641674359882,124.73732573672127,71.72987859659167,94.48736232324076,524.753507546797,115,6,0.05217391304347826,60.565743292320484
OPT-0012,ETCH-B,CH-02,18.660725430112993,857.5891807005222,125.53771439485632,72.76081728464779,92.50964123715211,520.1944462837362,94,7,0.07446808510638298,61.28714267334153
OPT-0013,ETCH-B,CH-03,17.735052284790548,877.9504235548493,119.78359939165117,72.64451469371066,94.97835841415503,528.1647432067762,96,11,0.11458333333333333,61.25148366938287
OPT-0014,ETCH-A,CH-01,17.51947314474716,870.2647330404982,115.64537830835613,71.08920386980346,94.03296777057126,529.2851516137936,97,3,0.030927835051546393,61.631142725193754
OPT-0015,ETCH-A,CH-01,18.673465994557585,867.5996987231251,119.01191919675568,71.73506454610875,96.17746740237673,530.1473178276227,84,1,0.011904761904761904,61.78195812044662
OPT-0016,ETCH-A,CH-01,17.316910634898377,856.7300256958976,114.33126952054978,72.35474652649229,94.17710646128431,520.5701607583264,114,7,0.06140350877192982,64.36791099600215
OPT-0017,ETCH-B,CH-03,17.45381932329208,854.741482390662,114.97608049782592,72.01477944599979,92.55073325952375,512.7617219308169,111,8,0.07207207207207207,62.97837975762498
OPT-0018,ETCH-B,CH-01,17.30991459846092,869.7446452347851,117.77138224614635,70.65560784303402,93.7313041979745,526.8465617488752,95,2,0.021052631578947368,62.79953636656125
OPT-0019,ETCH-A,CH-02,18.222163962569425,839.2078697350138,120.0354645869613,73.13766636513385,95.25060708677978,518.4367412930131,112,3,0.026785714285714284,63.895161297540625
OPT-0020,ETCH-A,CH-01,18.578789022268953,823.6282785666132,115.76134533670084,71.88758923571099,94.47427679347359,513.246909400477,92,3,0.03260869565217391,63.14555834382744
OPT-0021,ETCH-B,CH-01,17.570314253654274,829.9565327692834,118.44731760891739,71.01640324944873,95.84041125420923,504.14001011210166,113,10,0.08849557522123894,62.55681913146762
OPT-0022,ETCH-A,CH-02,17.251177217417748,875.9811596688859,123.1089715258579,73.3832582239304,94.2104599596382,531.751923658215,85,8,0.09411764705882353,62.33172399831273
OPT-0023,ETCH-A,CH-01,18.51797276798387,850.1511189482057,117.92559631980777,71.47749929102696,96.26603696746486,524.2276153242092,95,5,0.05263157894736842,63.071350238459765
OPT-0024,ETCH-B,CH-01,18.220111147903175,863.8163659349174,122.4530658770152,73.26533467297288,95.08966330978865,523.863484005791,95,5,0.05263157894736842,60.46529741650435
OPT-0025,ETCH-B,CH-03,18.198381640836114,877.9330394978692,122.29256962792999,70.73654595024104,93.83369114060193,531.3808500503887,80,7,0.0875,61.02088021650044
OPT-0026,ETCH-C,CH-01,17.48544577040928,835.0583932248339,123.32132385422008,70.5942720249911,93.10838796860617,503.951421752708,94,6,0.06382978723404255,63.529927762443364
OPT-0027,ETCH-B,CH-03,17.50926036680281,823.7459323885073,119.75955527478867,73.13064603627282,93.76415079515206,505.22719936287444,96,7,0.07291666666666667,63.71098388841323
OPT-0028,ETCH-B,CH-03,17.656433282602787,856.6382486777729,116.01656102778112,72.21277666322185,94.47077462719675,521.7932745771687,85,5,0.058823529411764705,64.28096245364728
OPT-0029,ETCH-C,CH-01,17.983594575751777,863.0595432112094,120.3364561223583,72.58218752267919,95.73637787851447,511.66083466860016,111,4,0.036036036036036036,62.31439335780457
OPT-0030,ETCH-A,CH-02,18.56121678619657,835.3621994131382,124.63092293713419,71.54491775123486,94.3305827546808,522.1787480683797,88,10,0.11363636363636363,62.50373327193118
OPT-0031,ETCH-A,CH-01,17.4635563980397,863.071123788921,121.35073891330059,73.22992094022771,96.20267611948061,524.5461876151412,112,5,0.044642857142857144,61.72141486047858
OPT-0032,ETCH-C,CH-02,17.762589430223397,863.5680920182959,114.65899303111661,71.96093973724908,92.68330743217525,505.0961815089114,86,11,0.12790697674418605,60.560122463987014
OPT-0033,ETCH-C,CH-01,17.6507985883417,883.0329037323789,114.863558480396,72.35773538215908,91.98793712955336,515.3128978131871,113,11,0.09734513274336283,61.146474240761876
OPT-0034,ETCH-A,CH-03,17.922536058548616,825.2820028354121,116.19408358060193,70.66924347551196,92.67608527148226,515.2296876625117,96,5,0.052083333333333336,63.14945252912367
OPT-0035,ETCH-B,CH-03,17.26093012667464,826.4335164526436,117.1235512589153,73.09775808514888,93.84719708534536,501.73721060869406,86,8,0.09302325581395349,62.716057961218986
OPT-0036,ETCH-B,CH-03,18.192361440613947,851.3080374122729,122.23606369895916,71.9971064059259,95.07694698523267,516.0120083102695,85,4,0.047058823529411764,61.515817457589584
OPT-0037,ETCH-A,CH-01,17.37585410279245,845.5635190863271,124.98805961300727,71.32922335342096,94.73696364112766,520.5243172861906,102,5,0.049019607843137254,62.99597183347953
OPT-0038,ETCH-C,CH-02,17.58487252673583,845.4439581330037,123.700480025421,72.84129695374132,93.43592367149853,510.8225312970536,111,9,0.08108108108108109,62.63917751148974
OPT-0039,ETCH-A,CH-03,17.55677983083502,826.2540023655615,122.19722898058943,73.46980178445922,93.86843139889528,511.4167795735376,82,3,0.036585365853658534,65.03115145035946
OPT-0040,ETCH-C,CH-03,18.491588462569567,860.3442993814751,125.21118900765546,71.90726701364422,92.58602479918515,518.5937102581818,103,9,0.08737864077669903,60.38257267655728
