wafer_id,lot_id,recipe_id,tool_id,temperature_c,pressure_kpa,gas_flow_sccm,vibration_rms,motor_current_a,defect_flag,quality_score
WAFER_00001,LOT_001,RCP_03,TOOL_B,65.74319327928978,101.0400624008546,503.0323909012516,1.3908280265781974,7.888888869051725,0,89.23106212189094
WAFER_00002,LOT_001,RCP_02,TOOL_B,65.27972059090443,100.68536037471819,500.8761315261666,1.9251678866149167,8.152838605064552,0,93.6445444389242
WAFER_00003,LOT_001,RCP_03,TOOL_C,65.43323783635155,101.66183330448963,501.7684363057647,1.754530711553127,8.652303848171115,0,89.11719703486585
WAFER_00004,LOT_001,RCP_02,TOOL_B,65.08890032713738,100.50356513102341,494.99675616572785,1.8768184059991508,8.033684510879388,0,97.94008592875548
WAFER_00005,LOT_001,RCP_01,TOOL_A,64.46666693876045,101.62439956975179,506.2473184300805,1.7627810105606592,8.450410651086626,0,93.27951045246324
WAFER_00006,LOT_001,RCP_03,TOOL_A,64.46610110956225,101.21154719059943,497.86902182149123,1.8233608180431318,8.212621800800477,0,92.20272577310179
WAFER_00007,LOT_001,RCP_03,TOOL_B,65.51753650865527,101.2259586889218,500.5887203248894,1.6358964702609173,8.052995637442903,0,94.29688616424201
WAFER_00008,LOT_001,RCP_03,TOOL_B,65.59579561532247,101.44341292686815,502.9903463123743,1.9404973997093702,8.062871632754455,0,94.23489193145797
WAFER_00009,LOT_001,RCP_01,TOOL_A,65.54416905579141,101.50341958419799,496.54557085471373,1.5392955891653315,8.034309282241907,0,93.7832919370376
WAFER_00010,LOT_001,RCP_02,TOOL_A,65.70710111723706,100.81077988810988,498.08786474520565,2.023494707321773,7.687190303601252,0,88.80857448107548
WAFER_00011,LOT_001,RCP_01,TOOL_B,65.70649931824953,101.55120396306252,500.6271012111031,1.7263349448101672,7.9774819510478485,0,90.76892585772266
WAFER_00012,LOT_001,RCP_03,TOOL_C,65.00088938301776,101.33967968830882,510.00115576412645,1.827515678067444,8.40529662133529,0,97.74350872243843
WAFER_00013,LOT_001,RCP_02,TOOL_B,64.84148073427261,100.66038082249618,501.0539365999821,2.0870886282013257,7.8959787196833675,0,95.04158621134758
WAFER_00014,LOT_001,RCP_03,TOOL_A,65.66615043314663,101.2405439307471,505.6222640272075,1.7878783224943524,8.084419254676174,0,90.91439412908349
WAFER_00015,LOT_001,RCP_02,TOOL_A,66.13935710498399,101.58344765544562,504.21985600817186,2.1433744746795647,8.005326872588778,0,84.73638927092314
WAFER_00016,LOT_001,RCP_01,TOOL_B,65.66604464167126,101.886808179386,501.28803512773084,2.0198441032764016,8.193422972774693,0,90.51298414678683
WAFER_00017,LOT_001,RCP_02,TOOL_A,65.50372872289927,101.35107196016303,496.5378147992926,1.6563337731384418,8.165778095266433,0,91.15009387041822
WAFER_00018,LOT_001,RCP_01,TOOL_B,64.82549542000282,100.88337977914107,503.7091376378638,1.7847018358313853,8.04178832189621,0,96.71520000907257
WAFER_00019,LOT_001,RCP_03,TOOL_B,65.0525601659802,101.47171241585956,494.75661380423185,1.8217868291394435,7.6581967771745,0,98.63817811082602
WAFER_00020,LOT_001,RCP_02,TOOL_A,65.35500854752246,101.39780131635071,505.6030629328698,2.0747345759975593,8.447680684670292,0,92.02252413379686
WAFER_00021,LOT_001,RCP_03,TOOL_A,64.95470243109455,101.55399779416155,500.7000185787639,1.8787531884060806,7.964527250357214,0,100.1980943720927
WAFER_00022,LOT_001,RCP_01,TOOL_A,64.89270364205886,101.57473400104077,490.72421758445637,1.8317326717973628,7.979778386576217,0,101.7009438514561
WAFER_00023,LOT_001,RCP_03,TOOL_C,65.39834992294914,101.42714207773663,498.80822866738856,2.0440216743223045,8.264369787825153,0,91.38697063536695
WAFER_00024,LOT_001,RCP_03,TOOL_B,66.16681044010527,101.27465568140931,502.2888173732303,1.790899733546165,7.877897085983616,0,85.49940026152638
WAFER_00025,LOT_001,RCP_03,TOOL_A,65.29038621366814,101.08707137643358,499.1704164443608,2.034826575422098,8.38601451200013,0,93.41296429137012
WAFER_00026,LOT_002,RCP_01,TOOL_C,63.902337662642324,100.63572256852447,502.5025203384775,2.0806669631435453,8.696511080096519,0,80.2815007833311
WAFER_00027,LOT_002,RCP_02,TOOL_B,65.2270000914481,101.21887461834967,497.02491541300697,1.7289004911663286,8.111098350894418,0,96.55135291436204
WAFER_00028,LOT_002,RCP_01,TOOL_B,64.68544016610323,101.36511849527827,495.4290616952434,1.6983887101895365,7.973124961392319,0,95.72723626269855
WAFER_00029,LOT_002,RCP_01,TOOL_C,65.01918396099698,101.49515154498869,499.7499410893334,1.9803222723094909,8.504779496253438,0,92.65733210200807
